"Time_Iter","Outer_Iter","Inner_Iter",    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          32,               0.5,      0.9965621289,       1.791335255,                 0,                 0,                 0,      0.5440879847,      0.9965621289,       1.791335255,                 0,        1.79751488,   0.0006374792762
          0,           0,          33,               0.5,      0.9942556791,       1.790945669,                 0,                 0,                 0,      0.5440038938,      0.9942556791,       1.790945669,                 0,       1.801292873,   0.0006374792762
          0,           0,          34,               0.5,      0.9917963716,       1.790514617,                 0,                 0,                 0,      0.5439071948,      0.9917963716,       1.790514617,                 0,       1.805324831,   0.0006374792762
          0,           0,          35,               0.5,      0.9891731776,         1.7900386,                 0,                 0,                 0,      0.5437967244,      0.9891731776,         1.7900386,                 0,       1.809631155,   0.0006374792762
          0,           0,          36,               0.5,      0.9863747632,       1.789514124,                 0,                 0,                 0,      0.5436713197,      0.9863747632,       1.789514124,                 0,       1.814233485,   0.0006374792762
          0,           0,          37,               0.5,      0.9833894917,       1.788937651,                 0,                 0,                 0,      0.5435298062,      0.9833894917,       1.788937651,                 0,       1.819154736,   0.0006374792762
          0,           0,          38,               0.5,      0.9802054453,       1.788305575,                 0,                 0,                 0,      0.5433709937,      0.9802054453,       1.788305575,                 0,        1.82441914,   0.0006374792762
          0,           0,          39,               0.5,      0.9768104583,       1.787614227,                 0,                 0,                 0,      0.5431936793,      0.9768104583,       1.787614227,                 0,       1.830052301,   0.0006374792762
          0,           0,          40,               0.5,      0.9731921538,       1.786859882,                 0,                 0,                 0,      0.5429966541,      0.9731921538,       1.786859882,                 0,       1.836081267,   0.0006374792762
          0,           0,          41,               0.5,      0.9693379787,       1.786038796,                 0,                 0,                 0,      0.5427787133,      0.9693379787,       1.786038796,                 0,       1.842534632,   0.0006374792762
          0,           0,          42,               0.5,      0.9652352317,       1.785147239,                 0,                 0,                 0,      0.5425386694,      0.9652352317,       1.785147239,                 0,       1.849442685,   0.0006374792762
          0,           0,          43,               0.5,      0.9608710758,        1.78418156,                 0,                 0,                 0,      0.5422753729,      0.9608710758,        1.78418156,                 0,       1.856837618,   0.0006374792762
          0,           0,          44,               0.5,      0.9562325323,       1.783138266,                 0,                 0,                 0,      0.5419877395,      0.9562325323,       1.783138266,                 0,       1.864753818,   0.0006374792762
          0,           0,          45,               0.5,      0.9513064651,       1.782014137,                 0,                 0,                 0,      0.5416747884,      0.9513064651,       1.782014137,                 0,       1.873228242,   0.0006374792762
          0,           0,          46,               0.5,      0.9460795524,       1.780806388,                 0,                 0,                 0,      0.5413356908,      0.9460795524,       1.780806388,                 0,       1.882300895,   0.0006374792762
          0,           0,          47,               0.5,       0.940538252,       1.779512864,                 0,                 0,                 0,      0.5409698328,       0.940538252,       1.779512864,                 0,       1.892015407,   0.0006374792762
          0,           0,          48,               0.5,      0.9346687665,       1.778132285,                 0,                 0,                 0,       0.540576889,      0.9346687665,       1.778132285,                 0,       1.902419712,   0.0006374792762
          0,           0,          49,               0.5,      0.9284570254,       1.776664535,                 0,                 0,                 0,      0.5401569051,      0.9284570254,       1.776664535,                 0,       1.913566796,   0.0006374792762
          0,           0,          50,               0.5,      0.9218886993,       1.775110963,                 0,                 0,                 0,      0.5397103823,      0.9218886993,       1.775110963,                 0,       1.925515482,   0.0006374792762
          0,           0,          51,               0.5,      0.9149492616,       1.773474692,                 0,                 0,                 0,      0.5392383534,      0.9149492616,       1.773474692,                 0,       1.938331191,   0.0006374792762
          0,           0,          52,               0.5,      0.9076241203,       1.771760893,                 0,                 0,                 0,      0.5387424392,      0.9076241203,       1.771760893,                 0,       1.952086611,   0.0006374792762
          0,           0,          53,               0.5,       0.899898833,        1.76997699,                 0,                 0,                 0,      0.5382248704,       0.899898833,        1.76997699,                 0,        1.96686219,   0.0006374792762
          0,           0,          54,               0.5,      0.8917594119,       1.768132743,                 0,                 0,                 0,      0.5376884616,      0.8917594119,       1.768132743,                 0,       1.982746377,   0.0006374792762
          0,           0,          55,               0.5,      0.8831927218,       1.766240191,                 0,                 0,                 0,      0.5371365265,      0.8831927218,       1.766240191,                 0,       1.999835537,   0.0006374792762
          0,           0,          56,               0.5,      0.8741869585,       1.764313395,                 0,                 0,                 0,      0.5365727246,      0.8741869585,       1.764313395,                 0,       2.018233489,   0.0006374792762
          0,           0,          57,               0.5,      0.8647321835,       1.762367992,                 0,                 0,                 0,      0.5360008412,      0.8647321835,       1.762367992,                 0,       2.038050654,   0.0006374792762
          0,           0,          58,               0.5,      0.8548208848,       1.760420536,                 0,                 0,                 0,      0.5354245042,      0.8548208848,       1.760420536,                 0,       2.059402815,   0.0006374792762
          0,           0,          59,               0.5,      0.8444485247,       1.758487687,                 0,                 0,                 0,      0.5348468563,      0.8444485247,       1.758487687,                 0,       2.082409568,   0.0006374792762
          0,           0,          60,               0.5,      0.8336140341,       1.756585265,                 0,                 0,                 0,      0.5342702034,      0.8336140341,       1.756585265,                 0,        2.10719253,   0.0006374792762
          0,           0,          61,               0.5,      0.8223202209,       1.754727271,                 0,                 0,                 0,      0.5336956694,      0.8223202209,       1.754727271,                 0,       2.133873431,   0.0006374792762
          0,           0,          62,               0.5,      0.8105740648,       1.752924952,                 0,                 0,                 0,      0.5331228885,      0.8105740648,       1.752924952,                 0,       2.162572216,   0.0006374792762
          0,           0,          63,               0.5,      0.7983868874,       1.751186001,                 0,                 0,                 0,      0.5325497665,      0.7983868874,       1.751186001,                 0,       2.193405263,   0.0006374792762
          0,           0,          64,               0.5,      0.7857743983,       1.749513992,                 0,                 0,                 0,      0.5319723364,      0.7857743983,       1.749513992,                 0,       2.226483831,   0.0006374792762
          0,           0,          65,               0.5,      0.7727566319,       1.747908115,                 0,                 0,                 0,       0.531384726,      0.7727566319,       1.747908115,                 0,       2.261912797,   0.0006374792762
          0,           0,          66,               0.5,       0.759357794,       1.746363235,                 0,                 0,                 0,      0.5307792442,       0.759357794,       1.746363235,                 0,       2.299789702,   0.0006374792762
          0,           0,          67,               0.5,      0.7456060471,        1.74487032,                 0,                 0,                 0,      0.5301465817,      0.7456060471,        1.74487032,                 0,       2.340204089,   0.0006374792762
          0,           0,          68,               0.5,      0.7315332585,       1.743417161,                 0,                 0,                 0,      0.5294761088,      0.7315332585,       1.743417161,                 0,       2.383237045,   0.0006374792762
          0,           0,          69,               0.5,      0.7171747219,       1.741989352,                 0,                 0,                 0,      0.5287562466,      0.7171747219,       1.741989352,                 0,       2.428960892,   0.0006374792762
          0,           0,          70,               0.5,      0.7025688727,       1.740571408,                 0,                 0,                 0,       0.527974882,      0.7025688727,       1.740571408,                 0,       2.477438833,   0.0006374792762
          0,           0,          71,               0.5,      0.6877570257,       1.739147918,                 0,                 0,                 0,       0.527119793,      0.6877570257,       1.739147918,                 0,       2.528724322,   0.0006374792762
          0,           0,          72,               0.5,      0.6727830252,       1.737704658,                 0,                 0,                 0,      0.5261790496,      0.6727830252,       1.737704658,                 0,       2.582860436,   0.0006374792762
          0,           0,          73,               0.5,      0.6576929191,        1.73622951,                 0,                 0,                 0,      0.5251413696,      0.6576929191,        1.73622951,                 0,       2.639878672,   0.0006374792762
          0,           0,          74,               0.5,      0.6425346499,        1.73471314,                 0,                 0,                 0,      0.5239964073,      0.6425346499,        1.73471314,                 0,       2.699797031,   0.0006374792762
          0,           0,          75,               0.5,      0.6273576894,        1.73314936,                 0,                 0,                 0,      0.5227349696,      0.6273576894,        1.73314936,                 0,       2.762617545,   0.0006374792762
          0,           0,          76,               0.5,      0.6122126083,       1.731535171,                 0,                 0,                 0,      0.5213491576,      0.6122126083,       1.731535171,                 0,       2.828323278,   0.0007469303811
          0,           0,          77,               0.5,       0.597150673,       1.729870568,                 0,                 0,                 0,      0.5198324201,       0.597150673,       1.729870568,                 0,       2.896874518,   0.0007469303811
          0,           0,          78,               0.5,      0.5822234056,       1.728158088,                 0,                 0,                 0,      0.5181795403,      0.5822234056,       1.728158088,                 0,       2.968204424,   0.0007469303811
          0,           0,          79,               0.5,      0.5674821148,       1.726402197,                 0,                 0,                 0,      0.5163865683,      0.5674821148,       1.726402197,                 0,       3.042214287,   0.0007469303811
          0,           0,          80,               0.5,      0.5529774034,       1.724608554,                 0,                 0,                 0,      0.5144507127,      0.5529774034,       1.724608554,                 0,       3.118768584,   0.0007469303811
          0,           0,          81,               0.5,        0.53875866,       1.722783233,                 0,                 0,                 0,      0.5123702038,        0.53875866,       1.722783233,                 0,       3.197690099,   0.0007469303811
          0,           0,          82,               0.5,      0.5248735369,       1.720931954,                 0,                 0,                 0,      0.5101441438,      0.5248735369,       1.720931954,                 0,        3.27875542,   0.0007469303811
          0,           0,          83,               0.5,      0.5113674146,        1.71905933,                 0,                 0,                 0,      0.5077723577,      0.5113674146,        1.71905933,                 0,       3.361691186,   0.0007469303811
          0,           0,          84,               0.5,      0.4982827993,       1.717168171,                 0,                 0,                 0,      0.5052552586,      0.4982827993,       1.717168171,                 0,        3.44617188,   0.0007469303811
          0,           0,          85,               0.5,      0.4856583841,       1.715258841,                 0,                 0,                 0,      0.5025937535,      0.4856583841,       1.715258841,                 0,       3.531821744,   0.0007469303811
          0,           0,          86,               0.5,      0.4735280642,       1.713328671,                 0,                 0,                 0,      0.4997891776,      0.4735280642,       1.713328671,                 0,       3.618219912,   0.0007469303811
          0,           0,          87,               0.5,      0.4619204391,       1.711371368,                 0,                 0,                 0,      0.4968432359,      0.4619204391,       1.711371368,                 0,        3.70490505,   0.0007469303811
          0,           0,          88,               0.5,      0.4508588254,        1.70937642,                 0,                 0,                 0,      0.4937579461,      0.4508588254,        1.70937642,                 0,       3.791378417,   0.0007469303811
          0,           0,          89,               0.5,      0.4403614405,       1.707328583,                 0,                 0,                 0,      0.4905355982,      0.4403614405,       1.707328583,                 0,       3.877107363,   0.0007469303811
          0,           0,          90,               0.5,      0.4304418054,       1.705207434,                 0,                 0,                 0,      0.4871787269,      0.4304418054,       1.705207434,                 0,       3.961528394,   0.0007469303811
          0,           0,          91,               0.5,       0.421109251,       1.702987119,                 0,                 0,                 0,      0.4836900748,       0.421109251,       1.702987119,                 0,       4.044050601,   0.0007469303811
          0,           0,          92,               0.5,      0.4123692612,       1.700636352,                 0,                 0,                 0,      0.4800725518,      0.4123692612,       1.700636352,                 0,       4.124061882,   0.0007469303811
          0,           0,          93,               0.5,      0.4042238011,       1.698118751,                 0,                 0,                 0,      0.4763291671,      0.4042238011,       1.698118751,                 0,       4.200937071,   0.0007469303811
          0,           0,          94,               0.5,      0.3966713787,       1.695393549,                 0,                 0,                 0,       0.472462942,      0.3966713787,       1.695393549,                 0,       4.274050613,   0.0007469303811
          0,           0,          95,               0.5,      0.3897069508,       1.692416805,                 0,                 0,                 0,      0.4684767546,      0.3897069508,       1.692416805,                 0,       4.342793479,   0.0007469303811
          0,           0,          96,               0.5,      0.3833216862,       1.689142938,                 0,                 0,                 0,      0.4643731595,      0.3833216862,       1.689142938,                 0,       4.406593728,   0.0007469303811
          0,           0,          97,               0.5,      0.3775026563,        1.68552667,                 0,                 0,                 0,      0.4601541553,      0.3775026563,        1.68552667,                 0,       4.464939894,   0.0007469303811
          0,           0,          98,               0.5,      0.3722325055,       1.681525228,                 0,                 0,                 0,      0.4558209125,      0.3722325055,       1.681525228,                 0,       4.517405663,   0.0007469303811
          0,           0,          99,               0.5,       0.367489154,       1.677100593,                 0,                 0,                 0,      0.4513735011,       0.367489154,       1.677100593,                 0,       4.563673717,   0.0007469303811
          0,           0,         100,               0.5,      0.3632456368,       1.672221736,                 0,                 0,                 0,      0.4468106192,      0.3632456368,       1.672221736,                 0,       4.603556291,   0.0007469303811
          0,           0,         101,               0.5,      0.3594700412,       1.666866587,                 0,                 0,                 0,      0.4421293682,      0.3594700412,       1.666866587,                 0,       4.637011144,   0.0007469303811
          0,           0,         102,               0.5,      0.3561255689,       1.661023584,                 0,                 0,                 0,      0.4373250945,      0.3561255689,       1.661023584,                 0,       4.664151437,   0.0007469303811
          0,           0,         103,               0.5,      0.3531707627,       1.654692714,                 0,                 0,                 0,       0.432391317,      0.3531707627,       1.654692714,                 0,       4.685248294,   0.0007469303811
          0,           0,         104,               0.5,      0.3505598709,       1.647885875,                 0,                 0,                 0,      0.4273197638,      0.3505598709,       1.647885875,                 0,       4.700725931,   0.0007469303811
          0,           0,         105,               0.5,      0.3482433108,       1.640626558,                 0,                 0,                 0,      0.4221005254,      0.3482433108,       1.640626558,                 0,       4.711150241,   0.0007469303811
          0,           0,         106,               0.5,      0.3461682678,       1.632948864,                 0,                 0,                 0,      0.4167223112,      0.3461682678,       1.632948864,                 0,       4.717211297,   0.0007469303811
          0,           0,         107,               0.5,      0.3442793634,       1.624895886,                 0,                 0,                 0,      0.4111728057,      0.3442793634,       1.624895886,                 0,        4.71970167,   0.0007469303811
          0,           0,         108,               0.5,      0.3425193867,       1.616517565,                 0,                 0,                 0,      0.4054391063,      0.3425193867,       1.616517565,                 0,       4.719492174,   0.0007469303811
          0,           0,         109,               0.5,      0.3408300496,       1.607868167,                 0,                 0,                 0,      0.3995082134,      0.3408300496,       1.607868167,                 0,       4.717507064,   0.0007469303811
          0,           0,         110,               0.5,      0.3391527646,       1.599003528,                 0,                 0,                 0,      0.3933675405,      0.3391527646,       1.599003528,                 0,       4.714699967,   0.0007469303811
          0,           0,         111,               0.5,      0.3374294259,       1.589978235,                 0,                 0,                 0,      0.3870054131,      0.3374294259,       1.589978235,                 0,       4.712031948,   0.0007469303811
          0,           0,         112,               0.5,      0.3356031736,       1.580842903,                 0,                 0,                 0,      0.3804115178,      0.3356031736,       1.580842903,                 0,       4.710452782,   0.0007469303811
          0,           0,         113,               0.5,      0.3336191237,       1.571641682,                 0,                 0,                 0,       0.373577276,      0.3336191237,       1.571641682,                 0,       4.710886069,   0.0007469303811
          0,           0,         114,               0.5,      0.3314250595,       1.562410137,                 0,                 0,                 0,      0.3664961099,      0.3314250595,       1.562410137,                 0,       4.714218471,   0.0007469303811
          0,           0,         115,               0.5,      0.3289720782,       1.553173515,                 0,                 0,                 0,      0.3591635948,      0.3289720782,       1.553173515,                 0,       4.721292833,   0.0007469303811
          0,           0,         116,               0.5,      0.3262151649,       1.543945473,                 0,                 0,                 0,      0.3515774794,      0.3262151649,       1.543945473,                 0,       4.732905269,   0.0007469303811
          0,           0,         117,               0.5,      0.3231136894,       1.534727203,                 0,                 0,                 0,      0.3437375791,      0.3231136894,       1.534727203,                 0,       4.749805575,   0.0007469303811
          0,           0,         118,               0.5,      0.3196318668,       1.525506984,                 0,                 0,                 0,      0.3356455372,      0.3196318668,       1.525506984,                 0,       4.772699915,   0.0007469303811
          0,           0,         119,               0.5,      0.3157391373,       1.516260077,                 0,                 0,                 0,       0.327304477,      0.3157391373,       1.516260077,                 0,       4.802255716,   0.0007469303811
          0,           0,         120,               0.5,      0.3114104057,       1.506948971,                 0,                 0,                 0,       0.318718552,      0.3114104057,       1.506948971,                 0,       4.839109239,   0.0007469303811
          0,           0,         121,               0.5,      0.3066261294,       1.497523912,                 0,                 0,                 0,       0.309892425,      0.3066261294,       1.497523912,                 0,       4.883875734,   0.0007469303811
          0,           0,         122,               0.5,      0.3013722789,        1.48792372,                 0,                 0,                 0,      0.3008307037,      0.3013722789,        1.48792372,                 0,       4.937161857,   0.0007469303811
          0,           0,         123,               0.5,      0.2956402184,       1.478076906,                 0,                 0,                 0,      0.2915373467,      0.2956402184,       1.478076906,                 0,       4.999579941,   0.0007469303811
          0,           0,         124,               0.5,      0.2894265178,       1.467903005,                 0,                 0,                 0,       0.282015065,      0.2894265178,       1.467903005,                 0,       5.071764038,   0.0007469303811
          0,           0,         125,               0.5,      0.2827327019,       1.457314021,                 0,                 0,                 0,      0.2722647644,      0.2827327019,       1.457314021,                 0,       5.154387911,   0.0007469303811
          0,           0,         126,               0.5,      0.2755649826,       1.446215921,                 0,                 0,                 0,      0.2622850506,      0.2755649826,       1.446215921,                 0,       5.248184684,   0.0007469303811
          0,           0,         127,               0.5,      0.2679339576,       1.434510137,                 0,                 0,                 0,       0.252071822,      0.2679339576,       1.434510137,                 0,       5.353969129,   0.0007469303811
          0,           0,         128,               0.5,      0.2598542944,       1.422095029,                 0,                 0,                 0,       0.241617987,      0.2598542944,       1.422095029,                 0,       5.472663181,   0.0007469303811
          0,           0,         129,               0.5,      0.2513443995,       1.408867253,                 0,                 0,                 0,      0.2309133339,      0.2513443995,       1.408867253,                 0,       5.605325824,   0.0007469303811
          0,           0,         130,               0.5,      0.2424260591,       1.394723036,                 0,                 0,                 0,      0.2199445851,      0.2424260591,       1.394723036,                 0,       5.753189411,   0.0007469303811
          0,           0,         131,               0.5,      0.2331240991,       1.379559364,                 0,                 0,                 0,      0.2086956626,      0.2331240991,       1.379559364,                 0,       5.917703786,   0.0007469303811
          0,           0,         132,               0.5,      0.2234660659,       1.363275123,                 0,                 0,                 0,      0.1971481593,      0.2234660659,       1.363275123,                 0,       6.100591235,   0.0007469303811
          0,           0,         133,               0.5,      0.2134818943,       1.345772187,                 0,                 0,                 0,      0.1852820502,      0.2134818943,       1.345772187,                 0,       6.303917205,   0.0007469303811
          0,           0,         134,               0.5,       0.203203568,       1.326956486,                 0,                 0,                 0,       0.173076614,       0.203203568,       1.326956486,                 0,       6.530183004,   0.0007469303811
          0,           0,         135,               0.5,      0.1926647661,       1.306739079,                 0,                 0,                 0,      0.1605115518,      0.1926647661,       1.306739079,                 0,       6.782449669,   0.0007469303811
          0,           0,         136,               0.5,      0.1819004653,       1.285037176,                 0,                 0,                 0,      0.1475682573,      0.1819004653,       1.285037176,                 0,       7.064507361,   0.0007469303811
          0,           0,         137,               0.5,      0.1709465355,       1.261775235,                 0,                 0,                 0,      0.1342311474,      0.1709465355,       1.261775235,                 0,       7.381110303,   0.0007469303811
          0,           0,         138,               0.5,       0.159839353,       1.236886037,                 0,                 0,                 0,      0.1204889778,       0.159839353,       1.236886037,                 0,       7.738307332,   0.0007469303811
          0,           0,         139,               0.5,       0.148615396,        1.21031172,                 0,                 0,                 0,      0.1063360564,       0.148615396,        1.21031172,                 0,        8.14391882,   0.0007469303811
          0,           0,         140,               0.5,      0.1373108246,       1.182004632,                 0,                 0,                 0,     0.09177326395,      0.1373108246,       1.182004632,                 0,       8.608240718,   0.0007469303811
          0,           0,         141,               0.5,      0.1259610386,       1.151927944,                 0,                 0,                 0,     0.07680879511,      0.1259610386,       1.151927944,                 0,       9.145113098,   0.0007469303811
          0,           0,         142,               0.5,      0.1146002718,       1.120056013,                 0,                 0,                 0,     0.06145852555,      0.1146002718,       1.120056013,                 0,       9.773589501,   0.0007469303811
          0,           0,         143,               0.5,      0.1032612122,       1.086374304,                 0,                 0,                 0,     0.04574599999,      0.1032612122,       1.086374304,                 0,       10.52064256,   0.0007469303811
          0,           0,         144,               0.5,     0.09197457794,       1.050878941,                 0,                 0,                 0,     0.02970200535,     0.09197457794,       1.050878941,                 0,       11.42575442,   0.0007469303811
          0,           0,         145,               0.5,     0.08076874078,       1.013575832,                 0,                 0,                 0,     0.01336376692,     0.08076874078,       1.013575832,                 0,       12.54911024,   0.0007469303811
          0,           0,         146,               0.5,     0.06966938252,      0.9744795315,                 0,                 0,                 0,   -0.003226173311,     0.06966938252,      0.9744795315,                 0,        13.9871992,   0.0007469303811
          0,           0,         147,               0.5,     0.05869920343,      0.9336119619,                 0,                 0,                 0,    -0.02002131735,     0.05869920343,      0.9336119619,                 0,       15.90501927,   0.0007469303811
          0,           0,         148,               0.5,     0.04787771013,      0.8910011559,                 0,                 0,                 0,    -0.03697265623,     0.04787771013,      0.8910011559,                 0,       18.60993672,   0.0007469303811
          0,           0,         149,               0.5,     0.03722114925,      0.8466802823,                 0,                 0,                 0,    -0.05403007009,     0.03722114925,      0.8466802823,                 0,       22.74729016,   0.0007469303811
          0,           0,         150,               0.5,     0.02674258266,       0.800687114,                 0,                 0,                 0,    -0.07114354094,     0.02674258266,       0.800687114,                 0,       29.94053058,   0.0007469303811
          0,           0,         151,               0.5,     0.01645212598,       0.753064051,                 0,                 0,                 0,    -0.08826407133,     0.01645212598,       0.753064051,                 0,       45.77305399,   0.0007469303811
          0,           0,         152,               0.5,    0.006357339712,      0.7038588103,                 0,                 0,                 0,     -0.1053442234,    0.006357339712,      0.7038588103,                 0,        110.715935,   0.0007469303811
          0,           0,         153,               0.5,   -0.003536243639,      0.6531257573,                 0,                 0,                 0,     -0.1223382858,   -0.003536243639,      0.6531257573,                 0,      -184.6947846,   0.0007469303811
          0,           0,         154,               0.5,    -0.01322448201,      0.6009278859,                 0,                 0,                 0,     -0.1392020376,    -0.01322448201,      0.6009278859,                 0,      -45.44056134,   0.0007469303811
          0,           0,         155,               0.5,    -0.02270393901,      0.5473390648,                 0,                 0,                 0,     -0.1558922816,    -0.02270393901,      0.5473390648,                 0,       -24.1076698,   0.0007469303811
          0,           0,         156,               0.5,    -0.03197120134,      0.4924463308,                 0,                 0,                 0,     -0.1723662062,    -0.03197120134,      0.4924463308,                 0,      -15.40280972,   0.0007469303811
          0,           0,         157,               0.5,    -0.04102222494,      0.4363522499,                 0,                 0,                 0,     -0.1885806347,    -0.04102222494,      0.4363522499,                 0,       -10.6369718,   0.0007469303811
          0,           0,         158,               0.5,    -0.04985173227,      0.3791772194,                 0,                 0,                 0,     -0.2044912439,    -0.04985173227,      0.3791772194,                 0,      -7.606099168,   0.0007469303811
          0,           0,         159,               0.5,     -0.0584526933,      0.3210614465,                 0,                 0,                 0,     -0.2200518199,     -0.0584526933,      0.3210614465,                 0,      -5.492671567,   0.0007469303811
          0,           0,         160,               0.5,     -0.0668159171,      0.2621664554,                 0,                 0,                 0,     -0.2352136647,     -0.0668159171,      0.2621664554,                 0,      -3.923712594,   0.0007469303811
          0,           0,         161,               0.5,    -0.07492977349,      0.2026760129,                 0,                 0,                 0,     -0.2499252463,    -0.07492977349,      0.2026760129,                 0,      -2.704879561,   0.0007469303811
          0,           0,         162,               0.5,    -0.08278004915,      0.1427961392,                 0,                 0,                 0,     -0.2641321104,    -0.08278004915,      0.1427961392,                 0,      -1.725006698,   0.0007469303811
