"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
         63,           0,          99,      -5.525711928,      -4.746855905,      -4.750718888,      -5.829819957,      -2.166186371
         64,           0,          99,      -5.611782865,      -4.735376652,      -4.764884795,      -5.792640795,       -2.10713776
         65,           0,          99,       -5.69695125,       -4.73657454,      -4.736607325,       -5.81066104,      -2.148711681
         66,           0,          99,      -5.528983171,      -4.748240888,      -4.716131641,      -5.837693741,      -2.187278015
         67,           0,          99,      -5.611393801,      -4.752269488,      -4.716209082,       -5.78378543,      -2.481012695
         68,           0,          99,      -5.709837878,      -4.757808835,       -4.71313074,      -5.772755582,      -2.501887642
         69,           0,          99,      -5.595300244,       -4.75002058,      -4.736045308,      -5.814247323,      -2.511625845
         70,           0,          99,      -5.641342595,      -4.751334484,      -4.773507215,      -5.802559288,      -2.374076186
         71,           0,          99,      -5.760207593,      -4.771515167,      -4.811991965,      -5.830778344,      -2.478076437
         72,           0,          99,      -5.724836511,      -4.802569061,      -4.846638187,      -5.880694529,      -2.509454426
         73,           0,          99,      -5.721068243,      -4.834406268,      -4.871264216,      -5.945957115,      -2.571241376
         74,           0,          99,      -5.782981066,      -4.845239115,      -4.879006178,      -5.968516612,      -2.655852474
         75,           0,          99,      -5.812379927,      -4.836631596,      -4.865295502,      -5.891649433,      -2.581629241
         76,           0,          99,      -5.793223421,      -4.817415282,      -4.837898357,      -5.830070897,      -2.608164458
         77,           0,          99,      -5.728849336,      -4.787589684,      -4.831519215,      -5.782455259,      -2.421924794
         78,           0,          99,      -5.737877699,      -4.767068621,      -4.841212744,      -5.740403413,      -2.351243016
         79,           0,          99,      -5.847540592,       -4.77654756,      -4.847300536,       -5.78327264,      -2.326120283
         80,           0,          99,      -5.734422168,      -4.805425186,      -4.830392815,      -5.870238997,      -2.266167503
         81,           0,          99,      -5.664991527,      -4.830343175,      -4.818292197,       -5.86303711,      -2.563713423
         82,           0,          99,      -5.761032189,      -4.831448153,      -4.803607736,      -5.793826552,      -2.781720572
         83,           0,          99,      -5.794007974,      -4.816711058,      -4.782397721,      -5.790898288,       -2.66591262
         84,           0,          99,      -5.691276231,      -4.794312552,      -4.783066671,      -5.826264014,      -2.439569931
         85,           0,          99,      -5.705378897,      -4.775107316,      -4.798653385,      -5.798177581,       -2.31134918
         86,           0,          99,      -5.816488883,      -4.780278061,        -4.8051197,      -5.811006919,      -2.375196818
         87,           0,          99,      -5.741982085,      -4.802212737,      -4.791543578,      -5.891822602,      -2.297347736
         88,           0,          99,      -5.688140906,      -4.812296734,      -4.784841399,      -5.888996132,      -2.571172549
         89,           0,          99,       -5.78648704,      -4.800383478,      -4.774815237,      -5.803176918,       -2.68984247
         90,           0,          99,      -5.762581452,      -4.779958756,      -4.758692837,      -5.788120064,      -2.648703947
         91,           0,          99,        -5.6753253,      -4.758983926,      -4.767834785,        -5.7968376,      -2.460643168
         92,           0,          99,      -5.718131918,      -4.751856348,      -4.788083709,      -5.774024279,      -2.354183279
         93,           0,          99,       -5.81023067,      -4.768042258,      -4.804885514,      -5.809845604,      -2.407300657
         94,           0,          99,      -5.723994531,      -4.798348518,      -4.803906198,      -5.893272048,       -2.32863949
         95,           0,          99,      -5.698502429,      -4.816265556,      -4.798254895,      -5.902520532,      -2.660656213
         96,           0,          99,      -5.790903419,      -4.803105237,      -4.784348925,      -5.804784215,      -2.768382128
         97,           0,          99,      -5.785854778,      -4.780494877,      -4.757572064,      -5.772757685,      -2.675350615
         98,           0,          99,      -5.685321673,       -4.75272225,      -4.753509389,      -5.796763826,      -2.433001007
         99,           0,          99,      -5.693644692,      -4.736027468,      -4.771099645,      -5.762777963,      -2.305500235
        100,           0,          99,      -5.805753427,      -4.747528677,      -4.784817315,      -5.789325286,      -2.354502276
        101,           0,          99,       -5.71920193,      -4.777116519,      -4.777828869,      -5.873624829,      -2.257790204
        102,           0,          99,      -5.646376826,      -4.799161114,      -4.771975353,      -5.884635521,      -2.500040395
        103,           0,          99,      -5.746325956,      -4.793233362,      -4.764059163,      -5.791626317,      -2.838582713
