"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -5.029598426,      -4.374524845,      -4.331265884,      -3.260036789,      -11.94932425
          0,           0,          64,      -5.075786363,      -4.401539653,      -4.379040887,      -3.304490988,      -11.98579354
          0,           0,          65,      -5.028424537,      -4.444911433,      -4.480253804,      -3.236336124,        -12.023132
          0,           0,          66,      -4.963755205,      -4.496583149,      -4.650624918,      -3.159283387,      -12.06057523
          0,           0,          67,      -4.939318958,      -4.540663993,      -4.838738533,      -3.131071967,       -12.0977086
          0,           0,          68,      -4.966190962,      -4.563622365,      -4.799451582,      -3.158304042,      -12.13107342
          0,           0,          69,      -5.041043128,      -4.585142979,      -4.687732224,       -3.23712152,      -12.16536369
          0,           0,          70,      -5.049227161,      -4.558291493,      -4.681542134,      -3.243155233,      -12.16840537
          0,           0,          71,      -5.058907394,      -4.598694484,      -4.674057329,      -3.256369045,      -12.17169337
          0,           0,          72,      -5.070296865,      -4.619686029,      -4.664635235,      -3.270254556,      -12.17524107
          0,           0,          73,      -5.083717563,      -4.631979352,      -4.654108547,      -3.285808549,      -12.17906031
          0,           0,          74,      -5.099539964,      -4.640443462,      -4.643476184,      -3.303752583,      -12.18316642
          0,           0,          75,      -5.118108753,      -4.647091666,      -4.633656291,       -3.32464807,      -12.18757252
          0,           0,          76,      -5.139771801,       -4.65286025,      -4.625238706,       -3.34899569,      -12.19229169
          0,           0,          77,      -5.164807076,      -4.658428045,       -4.61864508,      -3.377193445,      -12.19733569
          0,           0,          78,       -5.19323152,      -4.664420069,      -4.614345165,      -3.409328566,      -12.20271706
          0,           0,          79,      -5.224440347,      -4.671335568,      -4.613020465,      -3.444718053,       -12.2084522
          0,           0,          80,      -5.256586785,      -4.679480179,      -4.615679146,      -3.481043329,      -12.21456409
          0,           0,          81,      -5.285760178,      -4.689027133,      -4.623713805,      -3.513140621,      -12.22108991
          0,           0,          82,      -5.305653957,      -4.700167576,      -4.638946209,      -3.532611817,      -12.22808778
          0,           0,          83,      -5.309434307,      -4.713176847,      -4.663699279,      -3.531089912,      -12.23565088
          0,           0,          84,      -5.294387467,      -4.728389776,      -4.700894729,      -3.507137359,      -12.24388481
          0,           0,          85,      -5.265039175,      -4.745978289,      -4.754084225,       -3.46868042,      -12.25292192
          0,           0,          86,      -5.230553263,      -4.765607244,      -4.826994025,      -3.427296418,      -12.26291808
          0,           0,          87,      -5.200075299,      -4.786065168,      -4.920654119,      -3.392604861,      -12.27411505
          0,           0,          88,      -5.180751577,      -4.805287419,      -5.020679711,      -3.371300641,      -12.28677885
          0,           0,          89,      -5.178176117,      -4.820906745,      -5.071657861,      -3.368474057,      -12.30115372
          0,           0,          90,       -5.19743356,      -4.831699331,      -5.029449133,      -3.388996508,      -12.31739528
          0,           0,          91,      -5.243705419,      -4.839194049,      -4.952182677,      -3.438280954,      -12.33546116
          0,           0,          92,      -5.321333125,      -4.847846085,      -4.897354169,      -3.521532084,      -12.35509857
          0,           0,          93,      -5.427073585,       -4.86322502,      -4.884344164,      -3.636650516,      -12.37583447
          0,           0,          94,      -5.527663386,      -4.889224736,      -4.921203955,      -3.746203987,      -12.39509112
          0,           0,          95,      -5.536480703,      -4.885969432,      -4.932242988,      -3.755123574,      -12.39720397
          0,           0,          96,      -5.544358183,      -4.911862874,      -4.942261096,      -3.767975274,      -12.39952468
          0,           0,          97,      -5.550737575,       -4.92607784,      -4.951881386,       -3.77566182,      -12.40209693
          0,           0,          98,       -5.55525411,      -4.935446016,      -4.962404479,      -3.779422664,      -12.40491865
          0,           0,          99,      -5.557740405,      -4.943107832,      -4.974783645,      -3.779876372,      -12.40798077
          0,           0,         100,      -5.557692741,      -4.950364025,      -4.989711603,      -3.776851194,      -12.41128484
          0,           0,         101,      -5.554578221,      -4.957655547,       -5.00754903,      -3.770018267,      -12.41482988
          0,           0,         102,      -5.548062835,      -4.965134697,      -5.028683269,        -3.7593049,      -12.41861016
          0,           0,         103,      -5.538126109,      -4.972906951,      -5.053786811,      -3.745023774,      -12.42261247
          0,           0,         104,      -5.525161624,      -4.981063221,      -5.083776657,      -3.727906429,      -12.42681583
          0,           0,         105,      -5.510035967,      -4.989648003,      -5.119641641,      -3.709095496,        -12.431189
          0,           0,         106,       -5.49408019,      -4.998640508,      -5.162083686,      -3.690104409,      -12.43568484
          0,           0,         107,       -5.47901365,      -5.007951163,      -5.210563616,      -3.672745424,      -12.44023182
          0,           0,         108,      -5.466834679,      -5.017422219,       -5.26114062,      -3.659047161,      -12.44473758
          0,           0,         109,      -5.459718436,      -5.026837376,       -5.30332379,      -3.651185919,       -12.4490842
          0,           0,         110,      -5.459955039,      -5.035954446,      -5.320754604,      -3.651454992,      -12.45312604
          0,           0,         111,      -5.469943712,      -5.044574007,      -5.304076661,      -3.662289838,       -12.4566931
          0,           0,         112,      -5.492212903,      -5.052662187,      -5.263395243,      -3.686327676,      -12.45960442
          0,           0,         113,      -5.529337045,       -5.06053064,      -5.218262377,      -3.726377932,      -12.46168393
          0,           0,         114,      -5.583364224,      -5.069000679,      -5.183756539,      -3.784889586,      -12.46281211
          0,           0,         115,      -5.653663343,      -5.079406872,      -5.168844885,      -3.861600626,       -12.4629761
          0,           0,         116,      -5.730981156,      -5.093239637,      -5.179585108,      -3.946200163,      -12.46233955
          0,           0,         117,       -5.78996403,      -5.111467038,      -5.221469576,       -4.00768702,      -12.46138218
          0,           0,         118,      -5.805915545,      -5.133692074,      -5.299599878,      -4.016398371,      -12.46050563
          0,           0,         119,      -5.794888778,      -5.157676557,      -5.412723124,      -3.995622579,      -12.46051993
          0,           0,         120,      -5.792671618,      -5.179010929,      -5.523198208,      -3.987515188,      -12.46016015
          0,           0,         121,      -5.821204891,      -5.200277671,       -5.56706939,      -4.014008549,      -12.46566317
          0,           0,         122,      -5.825052118,      -5.191845874,      -5.596254428,      -4.014698738,      -12.46516084
          0,           0,         123,      -5.829777666,       -5.22009933,        -5.6057224,       -4.02154947,      -12.46467716
          0,           0,         124,       -5.83445504,      -5.234847001,      -5.605768246,      -4.027103027,      -12.46427471
          0,           0,         125,      -5.839800183,      -5.244285077,      -5.600816579,      -4.032953861,      -12.46388471
          0,           0,         126,      -5.846537266,      -5.252311898,      -5.593553125,       -4.04020221,      -12.46346028
          0,           0,         127,      -5.854932319,      -5.260023271,      -5.584914802,      -4.049202126,      -12.46299791
          0,           0,         128,      -5.865196629,      -5.267278885,      -5.574341294,      -4.060173197,       -12.4625101
          0,           0,         129,      -5.877640267,      -5.273881883,      -5.562024504,      -4.073474346,      -12.46199831
          0,           0,         130,      -5.892678342,      -5.279847943,      -5.548966681,      -4.089601614,      -12.46145176
          0,           0,         131,       -5.91076771,      -5.285233344,      -5.536242186,      -4.109086529,      -12.46085108
          0,           0,         132,      -5.932316572,      -5.290067267,      -5.524898274,      -4.132396234,      -12.46017875
          0,           0,         133,      -5.957545146,      -5.294422072,      -5.516217827,      -4.159789009,       -12.4594266
          0,           0,         134,      -5.986214603,      -5.298456043,      -5.511780019,      -4.190997855,      -12.45853425
          0,           0,         135,       -6.01715611,       -5.30238724,      -5.513317988,      -4.224648329,      -12.45746754
          0,           0,         136,      -6.047670699,      -5.306450348,      -5.522623809,      -4.257494297,      -12.45614321
          0,           0,         137,      -6.073275403,      -5.310873033,      -5.541597694,      -4.284100274,      -12.45443173
          0,           0,         138,      -6.088881039,      -5.315854421,      -5.572317598,      -4.298445416,       -12.4521535
          0,           0,         139,      -6.091991724,      -5.321544695,      -5.616855767,      -4.298079724,       -12.4490859
          0,           0,         140,      -6.085630875,      -5.328022311,      -5.676278983,       -4.28733163,      -12.44496193
          0,           0,         141,      -6.077586027,      -5.335292553,      -5.747484517,      -4.275486627,      -12.43948467
          0,           0,         142,      -6.077002782,      -5.343324271,       -5.81631602,      -4.272472717,      -12.43236393
          0,           0,         143,      -6.091912133,      -5.352144329,      -5.855198343,      -4.286496853,      -12.42332906
          0,           0,         144,      -6.128470177,      -5.361966433,      -5.850895426,      -4.323743859,       -12.4121795
          0,           0,         145,      -6.190160215,      -5.373240091,      -5.828695739,      -4.387856802,      -12.39880138
          0,           0,         146,      -6.274214767,      -5.386483797,      -5.820762303,       -4.47615758,      -12.38394252
          0,           0,         147,      -6.356093439,      -5.401035065,      -5.844329312,      -4.562319923,      -12.37584317
          0,           0,         148,      -6.365980511,      -5.403242173,      -5.879980807,      -4.572246666,      -12.37389889
          0,           0,         149,      -6.378815403,      -5.412764259,      -5.893732461,      -4.590414736,      -12.37181193
          0,           0,         150,      -6.387952575,      -5.417783307,      -5.902996567,      -4.601236251,      -12.36959384
          0,           0,         151,      -6.395704283,      -5.421230591,       -5.90945584,      -4.609161185,      -12.36717116
          0,           0,         152,       -6.40299982,      -5.424467339,      -5.917431218,      -4.616124631,      -12.36448628
          0,           0,         153,      -6.409842285,      -5.427874573,      -5.927954681,      -4.622263466,      -12.36151549
          0,           0,         154,      -6.415665567,        -5.4314414,      -5.940092625,      -4.626865338,       -12.3582412
          0,           0,         155,      -6.419858486,      -5.435178401,      -5.953435343,      -4.629321351,      -12.35463711
          0,           0,         156,      -6.422076478,      -5.439166529,      -5.968420358,      -4.629434034,      -12.35066596
