"Time_Iter","Outer_Iter","Inner_Iter",    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,               0.5,      0.3634773863,     0.01548610641,                 0,                 0,                 0,     0.05890324966,      0.3634773863,     0.01548610641,                 0,     0.04260541919,    0.001150271367
          0,           0,           1,               0.5,      0.4693935982,     0.02321030351,                 0,                 0,                 0,      0.1268013559,      0.4693935982,     0.02321030351,                 0,     0.04944742238,    0.001150271367
          0,           0,           2,               0.5,      0.5774836561,     0.01605966788,                 0,                 0,                 0,      0.1824629044,      0.5774836561,     0.01605966788,                 0,     0.02780973576,    0.001150271367
          0,           0,           3,               0.5,       0.647566423,   -0.005772915748,                 0,                 0,                 0,      0.2108896498,       0.647566423,   -0.005772915748,                 0,   -0.008914785485,    0.001150271367
          0,           0,           4,               0.5,      0.6927928148,    -0.03136225593,                 0,                 0,                 0,      0.2244455033,      0.6927928148,    -0.03136225593,                 0,    -0.04526931467,    0.001150271367
          0,           0,           5,               0.5,      0.7211119997,    -0.05382640861,                 0,                 0,                 0,      0.2304335444,      0.7211119997,    -0.05382640861,                 0,    -0.07464361795,    0.001150271367
          0,           0,           6,               0.5,      0.7388974919,     -0.0723352941,                 0,                 0,                 0,      0.2334486752,      0.7388974919,     -0.0723352941,                 0,    -0.09789625068,    0.001150271367
          0,           0,           7,               0.5,      0.7496626711,    -0.08280153466,                 0,                 0,                 0,      0.2360964334,      0.7496626711,    -0.08280153466,                 0,     -0.1104517243,    0.001150271367
          0,           0,           8,               0.5,       0.755505096,    -0.08570092605,                 0,                 0,                 0,      0.2390039626,       0.755505096,    -0.08570092605,                 0,      -0.113435272,    0.001150271367
          0,           0,           9,               0.5,      0.7578522185,    -0.08416414535,                 0,                 0,                 0,      0.2417037331,      0.7578522185,    -0.08416414535,                 0,     -0.1110561443,    0.001150271367
          0,           0,          10,               0.5,      0.7579860637,    -0.08021089059,                 0,                 0,                 0,      0.2443041578,      0.7579860637,    -0.08021089059,                 0,     -0.1058210625,    0.001150271367
          0,           0,          11,               0.5,      0.7569901681,    -0.07416032194,                 0,                 0,                 0,      0.2473688322,      0.7569901681,    -0.07416032194,                 0,    -0.09796735158,    0.001150271367
          0,           0,          12,               0.5,      0.7552185004,    -0.06790562862,                 0,                 0,                 0,      0.2502704555,      0.7552185004,    -0.06790562862,                 0,     -0.0899152081,    0.001150271367
          0,           0,          13,               0.5,      0.7528856411,    -0.06254208642,                 0,                 0,                 0,      0.2526203328,      0.7528856411,    -0.06254208642,                 0,    -0.08306983558,    0.001150271367
          0,           0,          14,               0.5,      0.7501895325,    -0.05842518837,                 0,                 0,                 0,      0.2543500939,      0.7501895325,    -0.05842518837,                 0,    -0.07788056996,    0.001150271367
          0,           0,          15,               0.5,      0.7472992348,      -0.055567372,                 0,                 0,                 0,      0.2555316613,      0.7472992348,      -0.055567372,                 0,    -0.07435759253,    0.001150271367
          0,           0,          16,               0.5,      0.7443361322,    -0.05385019942,                 0,                 0,                 0,      0.2562613827,      0.7443361322,    -0.05385019942,                 0,    -0.07234661477,    0.001150271367
          0,           0,          17,               0.5,      0.7413747219,    -0.05310681369,                 0,                 0,                 0,      0.2566176757,      0.7413747219,    -0.05310681369,                 0,    -0.07163288971,    0.001150271367
          0,           0,          18,               0.5,      0.7384528249,    -0.05310652465,                 0,                 0,                 0,      0.2566808692,      0.7384528249,    -0.05310652465,                 0,    -0.07191593404,    0.001150271367
