"Time_Iter","Outer_Iter","Inner_Iter",    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,               0.5,      0.5249893173,    0.001972294757,                 0,                 0,                 0,      0.0458652645,      0.5249893173,    0.001972294757,                 0,    0.003756828363
          0,           0,           1,               0.5,      0.4382802667,   -0.001702366745,                 0,                 0,                 0,     0.06233023184,      0.4382802667,   -0.001702366745,                 0,   -0.003884196654
          0,           0,           2,               0.5,      0.4058700544,     0.00468907949,                 0,                 0,                 0,     0.07206942506,      0.4058700544,     0.00468907949,                 0,     0.01155315461
          0,           0,           3,               0.5,      0.3775487578,      0.0070902997,                 0,                 0,                 0,     0.07613094875,      0.3775487578,      0.0070902997,                 0,     0.01877982526
          0,           0,           4,               0.5,      0.3536306295,    0.007772300495,                 0,                 0,                 0,     0.07788246124,      0.3536306295,    0.007772300495,                 0,       0.021978584
          0,           0,           5,               0.5,      0.3330520477,    0.008071945185,                 0,                 0,                 0,     0.07871288602,      0.3330520477,    0.008071945185,                 0,     0.02423628751
          0,           0,           6,               0.5,      0.3147378405,     0.00850969943,                 0,                 0,                 0,     0.07920071537,      0.3147378405,     0.00850969943,                 0,     0.02703742078
          0,           0,           7,               0.5,       0.297775097,    0.009262233992,                 0,                 0,                 0,     0.07951329213,       0.297775097,    0.009262233992,                 0,     0.03110479716
          0,           0,           8,               0.5,      0.2805449674,     0.01048078587,                 0,                 0,                 0,     0.07965990935,      0.2805449674,     0.01048078587,                 0,     0.03735866649
          0,           0,           9,               0.5,      0.2634452087,     0.01198943286,                 0,                 0,                 0,     0.07955882159,      0.2634452087,     0.01198943286,                 0,     0.04551015719
          0,           0,          10,               0.5,       0.258816818,     0.01208980942,                 0,                 0,                 0,     0.07958548096,       0.258816818,     0.01208980942,                 0,     0.04671183858
          0,           0,          11,               0.5,      0.2541076045,     0.01220971957,                 0,                 0,                 0,       0.079607756,      0.2541076045,     0.01220971957,                 0,     0.04804940645
          0,           0,          12,               0.5,      0.2493780782,     0.01233013827,                 0,                 0,                 0,     0.07962201361,      0.2493780782,     0.01233013827,                 0,     0.04944355318
          0,           0,          13,               0.5,      0.2445269392,     0.01244977281,                 0,                 0,                 0,     0.07960818645,      0.2445269392,     0.01244977281,                 0,     0.05091370649
          0,           0,          14,               0.5,      0.2394301714,      0.0125598595,                 0,                 0,                 0,     0.07952063698,      0.2394301714,      0.0125598595,                 0,     0.05245729654
          0,           0,          15,               0.5,      0.2339623011,     0.01263996373,                 0,                 0,                 0,     0.07929838844,      0.2339623011,     0.01263996373,                 0,     0.05402564291
          0,           0,          16,               0.5,      0.2278309576,     0.01269176076,                 0,                 0,                 0,     0.07885945335,      0.2278309576,     0.01269176076,                 0,     0.05570691924
          0,           0,          17,               0.5,      0.2207650768,     0.01275192627,                 0,                 0,                 0,     0.07812402648,      0.2207650768,     0.01275192627,                 0,     0.05776242536
          0,           0,          18,               0.5,       0.212612175,     0.01288656133,                 0,                 0,                 0,     0.07703605083,       0.212612175,     0.01288656133,                 0,     0.06061064626
          0,           0,          19,               0.5,       0.203401174,     0.01316683774,                 0,                 0,                 0,     0.07558013135,       0.203401174,     0.01316683774,                 0,     0.06473334191
          0,           0,          20,               0.5,      0.1933496399,     0.01363514707,                 0,                 0,                 0,     0.07378311921,      0.1933496399,     0.01363514707,                 0,     0.07052067473
          0,           0,          21,               0.5,      0.1826531438,     0.01430259615,                 0,                 0,                 0,     0.07166539459,      0.1826531438,     0.01430259615,                 0,     0.07830468096
          0,           0,          22,               0.5,      0.1713499087,     0.01519606051,                 0,                 0,                 0,      0.0692236713,      0.1713499087,     0.01519606051,                 0,     0.08868438058
          0,           0,          23,               0.5,      0.1592160907,     0.01628949569,                 0,                 0,                 0,     0.06631376032,      0.1592160907,     0.01628949569,                 0,       0.102310612
          0,           0,          24,               0.5,       0.146622034,      0.0174183925,                 0,                 0,                 0,     0.06296807814,       0.146622034,      0.0174183925,                 0,      0.1187979188
          0,           0,          25,               0.5,      0.1340627879,     0.01854954933,                 0,                 0,                 0,     0.05937943471,      0.1340627879,     0.01854954933,                 0,      0.1383646395
          0,           0,          26,               0.5,      0.1217267375,     0.01974501661,                 0,                 0,                 0,     0.05550263676,      0.1217267375,     0.01974501661,                 0,      0.1622077205
          0,           0,          27,               0.5,      0.1111536569,      0.0210341219,                 0,                 0,                 0,     0.05216893428,      0.1111536569,      0.0210341219,                 0,      0.1892346368
          0,           0,          28,               0.5,      0.1019909268,     0.02245825751,                 0,                 0,                 0,     0.04941479799,      0.1019909268,     0.02245825751,                 0,      0.2201985826
          0,           0,          29,               0.5,     0.09625990337,     0.02340604071,                 0,                 0,                 0,     0.04770233965,     0.09625990337,     0.02340604071,                 0,      0.2431546251
          0,           0,          30,               0.5,     0.09053474008,     0.02423939741,                 0,                 0,                 0,     0.04673138213,     0.09053474008,     0.02423939741,                 0,      0.2677358701
          0,           0,          31,               0.5,     0.08687886327,     0.02403470137,                 0,                 0,                 0,     0.04677228898,     0.08687886327,     0.02403470137,                 0,      0.2766461308
          0,           0,          32,               0.5,     0.08234407744,     0.02341732826,                 0,                 0,                 0,     0.04868695251,     0.08234407744,     0.02341732826,                 0,      0.2843838803
          0,           0,          33,               0.5,     0.07822542061,     0.02240760034,                 0,                 0,                 0,     0.05263266099,     0.07822542061,     0.02240760034,                 0,      0.2864490874
