"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
         57,           0,         112,      -8.000913753,      -6.679172037,      -7.147000236,      -5.937777946,      -8.976053827,      -3.886440013
         58,           0,         114,      -8.006742017,      -6.697243853,      -7.171372675,      -5.945739828,       -8.98251148,      -3.888844086
         59,           0,         114,      -8.005215632,      -6.697741094,      -7.169601999,      -5.944575203,      -8.980123762,         -3.887082
         60,           0,         113,      -8.000233507,      -6.690343152,      -7.166417432,      -5.938285435,      -8.973594075,      -3.896249938
         61,           0,         113,      -8.003756584,      -6.691373332,      -7.174559818,      -5.941137759,      -8.970201386,      -3.904173685
         62,           0,         113,      -8.005206021,      -6.691620663,      -7.178449138,      -5.943712443,      -8.965459113,      -3.893154329
         63,           0,         114,      -8.008014806,      -6.697971318,      -7.190271563,      -5.948018923,      -8.965549496,      -3.887910705
         64,           0,         114,      -8.007324027,      -6.697247978,      -7.189970796,      -5.947633664,       -8.96080205,      -3.888120686
         65,           0,         113,      -8.001172666,      -6.688547226,      -7.186614365,      -5.940737284,      -8.950490988,      -3.891173468
         66,           0,         113,      -8.004522102,      -6.688438221,      -7.194303595,      -5.943843889,      -8.944057448,      -3.895171301
         67,           0,         113,      -8.003635984,      -6.686646268,      -7.197589603,      -5.943747551,      -8.936704345,      -3.884974334
         68,           0,         114,      -8.006203745,      -6.693801631,      -7.207430345,        -5.9471462,      -8.933621695,      -3.886064383
         69,           0,         114,      -8.004398448,      -6.693267414,      -7.206469649,      -5.945300984,      -8.926126395,      -3.886982911
         70,           0,         114,      -8.007285842,      -6.693152814,       -7.21195991,      -5.947447474,       -8.91962596,      -3.893351355
         71,           0,         113,      -8.002974181,      -6.684281401,      -7.207592936,      -5.943093953,      -8.908848842,      -3.882231794
         72,           0,         113,      -8.002228401,      -6.683114468,       -7.21169698,      -5.943161017,      -8.902699129,      -3.879141244
         73,           0,         114,      -8.004691005,      -6.689406765,      -7.222377401,      -5.946334484,       -8.90174761,        -3.8869278
         74,           0,         114,      -8.002312808,       -6.68715499,      -7.223126867,      -5.943855221,      -8.896663736,      -3.888287251
         75,           0,         114,      -8.005496033,      -6.685644366,      -7.228513321,      -5.946620669,      -8.892149675,      -3.892746536
         76,           0,         113,      -8.001654356,      -6.674767115,      -7.221685987,      -5.942997065,      -8.883097375,      -3.878798556
         77,           0,         113,      -8.001111665,      -6.672524394,      -7.223452438,      -5.943133913,      -8.878888134,      -3.878078193
         78,           0,         114,      -8.003938286,      -6.678640176,      -7.233279885,      -5.946260332,      -8.880509898,      -3.889551616
         79,           0,         114,      -8.000821284,      -6.676586316,      -7.234053115,      -5.942885491,      -8.877937944,      -3.890832875
         80,           0,         114,      -8.003184568,      -6.674844436,      -7.237441914,      -5.944989022,      -8.874768485,      -3.892804895
         81,           0,         114,      -8.005779368,      -6.674053096,       -7.23907496,      -5.947839056,      -8.871559996,      -3.889203306
         82,           0,         114,      -8.003801619,      -6.672437093,      -7.238313138,      -5.946262786,      -8.869045086,      -3.884885895
         83,           0,         114,       -8.00014986,       -6.67163736,      -7.236903967,      -5.942700584,       -8.86655129,      -3.886607273
         84,           0,         115,      -8.006806386,      -6.678883361,      -7.249753156,      -5.949106742,      -8.868803794,      -3.900856846
         85,           0,         114,      -8.000062994,      -6.670365607,      -7.240237739,      -5.942379425,      -8.860184968,      -3.885108814
         86,           0,         114,      -8.000382059,      -6.669169852,      -7.240432411,      -5.943042216,       -8.85738916,      -3.885153968
         87,           0,         115,      -8.004077813,      -6.675683103,      -7.248213664,      -5.946963089,      -8.860161858,      -3.896423823
         88,           0,         116,       -8.00835206,      -6.681755534,      -7.256672071,      -5.950965455,       -8.86254212,      -3.904412374
         89,           0,         116,      -8.008415546,       -6.68153659,      -7.257823191,      -5.950701107,      -8.859917446,        -3.9069866
         90,           0,         115,      -8.000223533,       -6.67350802,      -7.247921769,      -5.942605291,      -8.852551846,      -3.896938235
         91,           0,         116,      -8.005236244,      -6.680547188,      -7.256720844,      -5.947853767,      -8.856091953,      -3.910244411
         92,           0,         117,      -8.009059802,      -6.687296673,      -7.261830281,      -5.951604417,      -8.859607187,      -3.918071036
         93,           0,         117,      -8.005971462,      -6.686727183,      -7.260622904,      -5.948335581,      -8.857649237,      -3.924286135
         94,           0,         117,       -8.00547787,      -6.687105767,      -7.261550925,      -5.947881803,      -8.855930045,      -3.932104748
         95,           0,         117,      -8.003513663,       -6.68616197,      -7.259667672,      -5.946129768,      -8.854004401,      -3.933576318
         96,           0,         118,      -8.007355134,      -6.692038184,      -7.264670039,      -5.949908549,      -8.857185676,      -3.948150167
         97,           0,         118,      -8.002228572,      -6.691523697,      -7.261739806,      -5.944622287,      -8.855499272,      -3.953988688
         98,           0,         119,      -8.008761499,      -6.698274586,      -7.269548625,      -5.950979054,      -8.860292149,      -3.965283322
         99,           0,         119,      -8.008522978,       -6.69718605,      -7.266247839,      -5.950772939,      -8.858410137,      -3.966325895
        100,           0,         119,       -8.00477917,      -6.697016248,      -7.260799625,      -5.947041741,      -8.857017924,      -3.970835536
        101,           0,         120,      -8.006767261,      -6.704055281,      -7.264224945,      -5.948722536,      -8.861134215,      -3.977879264
        102,           0,         120,      -8.002874387,      -6.704695523,      -7.260789139,      -5.944639395,      -8.860528924,      -3.975529283
        103,           0,         120,      -8.000738882,      -6.703743274,      -7.256149799,       -5.94248144,      -8.860352326,      -3.971797342
        104,           0,         121,      -8.003009054,      -6.709778334,      -7.256189585,      -5.944510647,      -8.865248649,      -3.964007433
        105,           0,         122,      -8.002136879,      -6.715306078,      -7.256071092,      -5.943127324,      -8.870608445,      -3.951976566
        106,           0,         123,      -8.003358666,      -6.721009842,      -7.258437964,      -5.943752508,        -8.8760348,      -3.952140074
        107,           0,         123,       -8.00006423,      -6.720385574,      -7.252934119,      -5.940276094,      -8.876417473,      -3.946114237
        108,           0,         124,      -8.000455343,      -6.726542517,      -7.252074773,       -5.94024111,      -8.883808788,      -3.955264711
        109,           0,         126,      -8.003757795,      -6.739320487,      -7.257539693,      -5.942660433,      -8.896332614,      -3.980276288
        110,           0,         127,      -8.002795671,       -6.74454409,         -7.256631,      -5.941154249,       -8.90200065,      -3.992160503
        111,           0,         128,      -8.002450527,      -6.750374562,      -7.252144738,      -5.940391646,       -8.90865723,      -4.012904988
