"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          54,      -5.345241218,      -5.081613701,      -4.872948523,      -3.881316814,      -6.997015153,     -0.9260898421
          0,           0,          55,      -5.339738623,      -5.075172696,      -4.867207647,      -3.876046059,       -7.01378424,     -0.9371282855
          0,           0,          56,      -5.334222425,      -5.068826811,      -4.861358851,      -3.870757354,      -7.030334978,     -0.9478529956
          0,           0,          57,      -5.328699014,      -5.062556903,      -4.855390508,      -3.865455395,      -7.046682569,     -0.9583421271
          0,           0,          58,      -5.323186246,      -5.056378843,      -4.849325602,       -3.86015658,      -7.062832903,     -0.9685774183
          0,           0,          59,      -5.317689932,      -5.050336625,      -4.843164659,      -3.854864928,      -7.078793254,     -0.9785892101
          0,           0,          60,      -5.312230466,      -5.044434303,      -4.836913365,      -3.849599086,      -7.094570199,     -0.9887795953
          0,           0,          61,       -5.30681911,      -5.038664888,      -4.830588214,       -3.84436792,       -7.11017044,     -0.9986577768
          0,           0,          62,      -5.301473086,       -5.03302302,      -4.824190613,       -3.83918696,      -7.125598881,      -1.008277025
          0,           0,          63,      -5.296215696,      -5.027504733,      -4.817743634,      -3.834078574,      -7.140859465,      -1.018080485
          0,           0,          64,      -5.291053722,      -5.022110148,      -4.811259731,      -3.829047179,      -7.155954149,      -1.027263559
          0,           0,          65,      -5.286030642,      -5.016817044,      -4.804760636,      -3.824134925,      -7.170882206,      -1.036534935
          0,           0,          66,      -5.281178018,      -5.011560821,      -4.798276588,      -3.819371082,      -7.185643381,      -1.045935851
          0,           0,          67,      -5.276530968,      -5.006285888,      -4.791839312,       -3.81479036,      -7.200239401,      -1.055266525
          0,           0,          68,      -5.272171931,       -5.00090347,       -4.78551049,      -3.810475079,       -7.21467425,      -1.064497019
          0,           0,          69,      -5.268146165,      -4.995317688,      -4.779320696,      -3.806468249,      -7.228949381,      -1.073632585
          0,           0,          70,      -5.264555574,      -4.989439549,      -4.773365211,      -3.802874153,       -7.24306554,      -1.082698286
          0,           0,          71,       -5.26145608,      -4.983173078,      -4.767688615,      -3.799744206,       -7.25702232,      -1.091668472
          0,           0,          72,      -5.258943584,      -4.976491757,      -4.762375828,      -3.797181249,      -7.270821951,      -1.100551723
          0,           0,          73,      -5.257036118,      -4.969427866,      -4.757466583,      -3.795201132,      -7.284469763,      -1.109342978
          0,           0,          74,      -5.255796286,      -4.962046682,       -4.75299857,      -3.793878221,      -7.297969382,      -1.117982728
          0,           0,          75,      -5.255147278,      -4.954421721,      -4.748979246,      -3.793142528,      -7.311330206,      -1.126615349
          0,           0,          76,      -5.255107764,      -4.946436457,      -4.745350571,      -3.793033766,      -7.324559078,      -1.135495191
          0,           0,          77,      -5.255528716,      -4.938091454,      -4.742045341,       -3.79341712,       -7.33763864,      -1.144420332
          0,           0,          78,      -5.256223441,      -4.929119784,      -4.738889869,      -3.794125297,      -7.350560643,      -1.153239843
          0,           0,          79,      -5.256982727,      -4.919317116,      -4.735661166,       -3.79495382,       -7.36334041,      -1.161778762
          0,           0,          80,      -5.257548505,      -4.908574231,      -4.731989002,      -3.795628907,      -7.375973341,      -1.170174791
          0,           0,          81,      -5.257612827,      -4.896861978,      -4.727550863,      -3.795813985,      -7.388471122,      -1.178358273
          0,           0,          82,      -5.256684805,      -4.884235625,       -4.72176311,      -3.794976654,      -7.400852639,      -1.186095715
          0,           0,          83,      -5.254140526,      -4.870801359,      -4.713965976,      -3.792421707,       -7.41313561,      -1.193673539
          0,           0,          84,      -5.249568334,      -4.856563933,      -4.703789519,      -3.787685839,      -7.425350246,      -1.201101865
          0,           0,          85,      -5.242865659,      -4.841587642,      -4.691253703,       -3.78064428,      -7.437529414,      -1.208125762
          0,           0,          86,      -5.234209746,      -4.825844768,      -4.676586296,      -3.771492196,      -7.449676131,      -1.215357615
          0,           0,          87,      -5.223925515,      -4.809244504,      -4.660171495,      -3.760598465,      -7.461800959,      -1.222792738
          0,           0,          88,      -5.212427774,      -4.791785213,      -4.642449931,      -3.748430321,      -7.473928456,      -1.229869193
          0,           0,          89,      -5.200181741,      -4.773507682,      -4.623853069,      -3.735506281,      -7.486012049,      -1.236665872
          0,           0,          90,      -5.187587666,      -4.754491794,      -4.604745902,      -3.722265398,      -7.498046041,      -1.243280955
          0,           0,          91,       -5.17497747,      -4.734779908,      -4.585381174,      -3.709062356,      -7.510029709,      -1.249511088
          0,           0,          92,      -5.162634967,      -4.714517499,      -4.565937703,      -3.696194828,      -7.521964896,      -1.255595589
          0,           0,          93,      -5.150842821,      -4.693785493,      -4.546484361,      -3.683959638,      -7.533850803,      -1.261418517
          0,           0,          94,      -5.139854824,      -4.672721536,      -4.527155653,      -3.672627808,      -7.545690415,      -1.266801692
          0,           0,          95,      -5.129964122,      -4.651434042,      -4.508024655,      -3.662515426,      -7.557495302,      -1.272316174
          0,           0,          96,      -5.121431578,      -4.630049713,      -4.489184147,      -3.653915037,      -7.569245095,      -1.277577495
          0,           0,          97,      -5.114528292,      -4.608725693,       -4.47082098,      -3.647137157,      -7.580934415,      -1.282203612
          0,           0,          98,      -5.109481093,       -4.58758668,      -4.453129395,       -3.64244563,      -7.592548982,      -1.286978573
          0,           0,          99,      -5.106428908,      -4.566833255,      -4.436363379,      -3.640026638,      -7.604104009,      -1.291821961
          0,           0,         100,      -5.105350358,       -4.54673375,      -4.420813682,      -3.639920439,      -7.615600079,       -1.29612442
          0,           0,         101,      -5.106093064,      -4.527588167,      -4.406764102,      -3.642034683,      -7.627033282,      -1.300237611
          0,           0,         102,      -5.108304714,      -4.509748932,      -4.394522063,      -3.646077442,      -7.638398374,      -1.303937605
          0,           0,         103,      -5.111403887,      -4.493554905,      -4.384387237,      -3.651513184,      -7.649689512,      -1.308124167
          0,           0,         104,      -5.114547154,      -4.479359373,      -4.376648518,      -3.657501361,      -7.660899955,      -1.314497802
          0,           0,         105,      -5.116709632,      -4.467467228,      -4.371566807,      -3.662944352,        -7.6720226,        -1.3194324
          0,           0,         106,       -5.11672888,       -4.45812798,      -4.369387547,      -3.666492404,      -7.683047912,      -1.323012028
          0,           0,         107,      -5.113542006,      -4.451542027,      -4.370292852,      -3.666781915,      -7.693959579,       -1.32602943
          0,           0,         108,      -5.106510363,      -4.447874563,      -4.374460194,      -3.662827548,      -7.704744122,      -1.328953203
          0,           0,         109,      -5.095661004,      -4.447216949,      -4.381991816,      -3.654367202,      -7.715437409,      -1.333547624
          0,           0,         110,      -5.081622721,       -4.44958667,      -4.392904973,      -3.641878471,      -7.725923166,      -1.340244078
          0,           0,         111,      -5.065555382,        -4.4549183,      -4.407134336,      -3.626564025,      -7.736166041,      -1.343607177
          0,           0,         112,      -5.048856757,       -4.46304361,      -4.424497798,      -3.609994494,      -7.746097939,      -1.345804676
          0,           0,         113,      -5.032854912,       -4.47369674,      -4.444693223,      -3.593718214,      -7.755637675,      -1.349639745
          0,           0,         114,      -5.018709057,      -4.486480431,      -4.467266111,        -3.5791061,      -7.764701731,      -1.354819837
          0,           0,         115,      -5.007272261,      -4.500875834,      -4.491606563,      -3.567172973,       -7.77322186,      -1.359325698
          0,           0,         116,      -4.999111978,      -4.516288762,      -4.516943619,       -3.55859063,      -7.781173452,      -1.363533626
          0,           0,         117,      -4.994522337,      -4.532115609,      -4.542342019,      -3.553711038,      -7.788595284,      -1.367319241
          0,           0,         118,      -4.993511826,      -4.547776716,      -4.566762267,      -3.552557245,      -7.795610341,      -1.369792576
          0,           0,         119,      -4.995958133,      -4.562846118,      -4.589094934,      -3.554998312,      -7.802432365,      -1.372161075
          0,           0,         120,      -5.001568224,      -4.577121927,      -4.608240664,      -3.560703941,      -7.809352926,      -1.375343654
          0,           0,         121,      -5.009931765,      -4.590559035,       -4.62325266,      -3.569205198,      -7.816706736,      -1.379322933
          0,           0,         122,      -5.020604367,      -4.603270557,      -4.633462753,      -3.579983434,      -7.824824579,      -1.383314436
          0,           0,         123,       -5.03314881,      -4.615468734,      -4.638572347,      -3.592517461,      -7.833978467,      -1.387446894
          0,           0,         124,      -5.047182523,      -4.627366835,      -4.638680236,      -3.606346866,      -7.844320228,      -1.391717859
          0,           0,         125,      -5.062443079,      -4.639044487,      -4.634377722,      -3.621155434,      -7.855831175,      -1.395291776
          0,           0,         126,      -5.078773602,      -4.650547867,      -4.626667547,      -3.636760759,       -7.86829067,      -1.399053984
          0,           0,         127,      -5.096067842,      -4.661886822,      -4.616847785,      -3.653063521,      -7.881272046,      -1.403280528
          0,           0,         128,      -5.114159069,      -4.673048414,      -4.606273973,      -3.669923971,      -7.894176953,      -1.408367424
          0,           0,         129,      -5.132732345,      -4.684054374,      -4.596287233,      -3.687063355,      -7.906333302,      -1.411782449
          0,           0,         130,      -5.151227443,      -4.694955519,      -4.588042364,      -3.703955878,      -7.917146772,      -1.416891074
          0,           0,         131,      -5.168784396,      -4.705781079,      -4.582480426,      -3.719763524,      -7.926269545,      -1.419702788
          0,           0,         132,      -5.184294667,      -4.716557133,      -4.580231991,      -3.733392758,       -7.93372677,      -1.421747998
          0,           0,         133,      -5.196573527,      -4.727174013,      -4.581643664,      -3.743672425,      -7.939936408,      -1.423225062
          0,           0,         134,      -5.204624529,      -4.737419575,      -4.586810327,      -3.749638971,      -7.945604933,      -1.428391357
          0,           0,         135,      -5.207935293,      -4.746977944,       -4.59557462,       -3.75084337,      -7.951549814,      -1.429483163
          0,           0,         136,      -5.206603463,       -4.75535116,      -4.607567053,      -3.747469682,      -7.958494021,      -1.431520145
          0,           0,         137,      -5.201343781,      -4.761996008,      -4.622197891,      -3.740337458,      -7.966905302,      -1.435351271
