"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       
         48,           0,         142,      -8.000402321,      -6.477505482,      -7.444346048,      -8.969905589,      -3.691590015,     0.02488465954,       1.270767276
         49,           0,         142,      -8.004240362,      -6.482233034,      -7.452465028,      -8.978533718,      -3.699372708,     0.02463333468,       1.270862738
         50,           0,         141,      -8.002991126,      -6.478095894,      -7.451936908,      -8.982994515,      -3.707363217,     0.02441039809,       1.270942318
         51,           0,         141,      -8.009449429,      -6.484103831,      -7.462026541,      -8.990889383,      -3.715118124,     0.02419900932,       1.270952043
         52,           0,         140,      -8.007730013,      -6.480716058,      -7.462060917,      -8.994956283,      -3.722744125,     0.02400857268,       1.270937524
         53,           0,         139,        -8.0036763,      -6.478080357,      -7.462381527,      -8.999372866,      -3.729743733,     0.02383098658,       1.270869233
         54,           0,         139,      -8.010182379,      -6.485348593,      -7.472740826,      -9.007199012,      -3.736930373,     0.02366296628,       1.270734122
         55,           0,         138,      -8.006835848,      -6.482973793,      -7.470790461,      -9.010939289,      -3.743617284,     0.02351560012,       1.270602469
         56,           0,         138,      -8.012208488,      -6.490826189,       -7.48034676,      -9.018477518,      -3.750257653,     0.02337647992,       1.270418104
         57,           0,         137,      -8.005832505,       -6.48848642,      -7.477219796,      -9.021808592,      -3.756442394,     0.02325077342,       1.270215589
         58,           0,         137,      -8.009013407,      -6.496052575,      -7.487750553,      -9.029111164,       -3.76262039,     0.02313328482,       1.269968434
         59,           0,         137,      -8.012868466,      -6.503134026,      -7.496341159,      -9.035705455,      -3.768870606,     0.02302569214,       1.269697714
         60,           0,         136,      -8.004386736,      -6.500024572,       -7.49092638,      -9.038244285,      -3.774252406,      0.0229323762,       1.269432409
         61,           0,         136,      -8.006198885,      -6.506523516,      -7.498622174,      -9.044964392,      -3.779857271,     0.02284434338,       1.269123481
         62,           0,         136,      -8.010218021,      -6.511972584,      -7.506842347,      -9.050985815,      -3.785571633,     0.02276135509,       1.268780498
         63,           0,         135,      -8.002672739,      -6.506853335,      -7.502620181,      -9.052783093,      -3.790422021,     0.02269170449,       1.268452732
         64,           0,         135,      -8.005089444,      -6.510701453,      -7.512048846,      -9.059028107,      -3.795547225,     0.02262785465,       1.268097122
         65,           0,         135,      -8.009612087,      -6.513225308,      -7.520582867,      -9.064696308,      -3.800788949,     0.02256684916,       1.267710266
         66,           0,         134,      -8.001182807,      -6.505445467,      -7.513650514,      -9.065948771,      -3.805201558,     0.02251677855,       1.267337511
         67,           0,         134,      -8.001430653,      -6.506703199,         -7.519856,      -9.071775504,      -3.809916323,      0.0224717234,       1.266944525
         68,           0,         134,      -8.003955489,      -6.506852563,      -7.526054063,      -9.076911023,      -3.814775154,     0.02242836236,       1.266524447
         69,           0,         134,      -8.006156862,       -6.50626328,      -7.531871938,      -9.081670264,      -3.819433095,     0.02239081983,       1.266100693
         70,           0,         134,      -8.007819993,      -6.505029698,      -7.536498244,      -9.085971472,      -3.823921177,       0.022360871,       1.265681363
         71,           0,         134,      -8.008889888,       -6.50341638,      -7.540217601,      -9.089642112,      -3.828389121,     0.02233398062,        1.26524986
         72,           0,         134,       -8.01037227,      -6.501563637,      -7.543423908,      -9.092365792,      -3.832795985,     0.02231021224,       1.264805516
         73,           0,         134,      -8.012171381,      -6.499718046,      -7.546574659,      -9.093746979,      -3.837107595,      0.0222905592,       1.264356189
         74,           0,         133,      -8.002846576,      -6.489947776,      -7.535191856,      -9.088382571,      -3.840802499,     0.02227784661,       1.263923546
         75,           0,         133,      -8.004757004,      -6.488706013,      -7.538420039,      -9.085765059,      -3.845026903,     0.02226605566,       1.263471355
         76,           0,         133,      -8.012657354,      -6.487144416,      -7.543006484,      -9.079170648,      -3.849318412,     0.02225512363,       1.263002924
         77,           0,         132,       -8.00971523,      -6.477938673,      -7.532760598,      -9.061923319,      -3.852947958,     0.02225045021,       1.262555883
         78,           0,         131,      -8.004928007,      -6.469035729,      -7.521059613,      -9.038580001,      -3.856367696,     0.02225217842,       1.262125558
         79,           0,         130,      -8.003718421,      -6.460027416,      -7.509483161,      -9.007047147,      -3.859836221,      0.0222546519,       1.261686419
         80,           0,         129,      -8.005487945,      -6.450800623,      -7.497760103,      -8.965062639,      -3.863277722,      0.0222567504,       1.261237573
         81,           0,         128,      -8.010316453,      -6.441251058,      -7.486160751,       -8.91060892,      -3.866533595,      0.0222627312,       1.260798274
         82,           0,         126,      -8.002705524,      -6.424451545,      -7.456248347,      -8.833739921,      -3.868689874,     0.02227589467,       1.260393032
         83,           0,         125,      -8.011247918,      -6.414415967,      -7.447611982,      -8.748443014,      -3.871444203,      0.0222896368,        1.25998316
         84,           0,         123,      -8.006640926,      -6.396906474,      -7.421335914,      -8.637268868,      -3.872485208,     0.02230422776,       1.259578245
         85,           0,         122,      -8.014292626,      -6.385989794,      -7.418989316,      -8.516295839,      -3.874200695,     0.02231758096,       1.259162078
         86,           0,         121,      -8.014552004,      -6.374653055,      -7.418626625,      -8.376578358,      -3.875201729,     0.02233120987,       1.258747793
         87,           0,         120,      -8.000332033,      -6.364331649,       -7.42043646,      -8.219726591,      -3.875284273,     0.02234686174,       1.258339494
         88,           0,         122,       -8.00662123,      -6.375728209,      -7.489085734,      -8.075464565,      -3.880087344,     0.02235221379,       1.257874828
         89,           0,         124,      -8.002391475,      -6.394146045,      -7.532016241,      -7.946632398,      -3.884225311,     0.02235331223,       1.257377024
         90,           0,         125,      -8.004303029,      -6.428084196,      -7.534413167,      -7.926638781,      -3.890309189,     0.02236192393,       1.256904825
         91,           0,         123,      -8.004058529,      -6.464347758,      -7.513156992,      -7.967295948,      -3.895713773,     0.02238892372,       1.256533293
         92,           0,         120,      -8.003572575,      -6.492730689,      -7.485670837,      -7.970116062,      -3.896716605,     0.02242867818,       1.256227794
         93,           0,         116,      -8.007338719,      -6.501558766,        -7.4353498,       -7.98171539,      -3.893292707,     0.02247027487,       1.255938527
         94,           0,         111,      -8.010064453,      -6.493515927,      -7.347997875,      -8.001886367,      -3.884473918,     0.02251110089,       1.255643536
         95,           0,         106,      -8.004731475,       -6.47983859,      -7.250465877,      -8.025725504,      -3.876966764,     0.02254666241,       1.255317998
         96,           0,         103,      -8.004592701,      -6.482835298,      -7.207736757,      -8.051522749,      -3.880553567,     0.02256532475,       1.254930967
