"Time_Iter","Inner_Iter",    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  
          3,         140,               0.5,     0.01124420959,      0.6963831967,                 0,                 0,                 0,      0.0869783233,     0.01124420959,      0.6963831967,                 0,       61.93260551,     0.01254928943,               0.5,     0.01124420959,      0.6963831967,                 0,                 0,                 0,      0.0869783233,     0.01124420959,      0.6963831967,                 0,       61.93260551,     0.01254928943
          4,          73,               0.5,     0.01049416279,      0.6942712922,                 0,                 0,                 0,     0.08593896688,     0.01049416279,      0.6942712922,                 0,       66.15785424,     0.01254928943,               0.5,     0.01086918619,      0.6953272444,                 0,                 0,                 0,     0.08645864509,     0.01086918619,      0.6953272444,                 0,       64.04522988,     0.01254928943
          5,          58,               0.5,     0.01033836573,      0.6919008155,                 0,                 0,                 0,     0.08473304524,     0.01033836573,      0.6919008155,                 0,       66.92555031,     0.01254928943,               0.5,     0.01069224603,      0.6941851015,                 0,                 0,                 0,     0.08588344514,     0.01069224603,      0.6941851015,                 0,       65.00533669,     0.01254928943
          6,          52,               0.5,     0.01032177388,      0.6916335184,                 0,                 0,                 0,     0.08422660939,     0.01032177388,      0.6916335184,                 0,       67.00723407,     0.01254928943,               0.5,       0.010599628,      0.6935472057,                 0,                 0,                 0,      0.0854692362,       0.010599628,      0.6935472057,                 0,       65.50581103,     0.01254928943
          7,          50,               0.5,     0.01050738612,      0.6926584841,                 0,                 0,                 0,     0.08439419673,     0.01050738612,      0.6926584841,                 0,       65.92110313,     0.01254928943,               0.5,     0.01058117962,      0.6933694614,                 0,                 0,                 0,     0.08525422831,     0.01058117962,      0.6933694614,                 0,       65.58886945,     0.01254928943
          8,          48,               0.5,     0.01079231041,      0.6943932895,                 0,                 0,                 0,     0.08475774239,     0.01079231041,      0.6943932895,                 0,       64.34148603,     0.01254928943,               0.5,     0.01061636809,      0.6935400994,                 0,                 0,                 0,     0.08517148065,     0.01061636809,      0.6935400994,                 0,       65.38097221,     0.01254928943
          9,          47,               0.5,     0.01101671844,       0.696143512,                 0,                 0,                 0,     0.08523641324,     0.01101671844,       0.696143512,                 0,       63.18973436,     0.01254928943,               0.5,     0.01067356099,      0.6939120155,                 0,                 0,                 0,     0.08518075674,     0.01067356099,      0.6939120155,                 0,       65.06793824,     0.01254928943
         10,          46,               0.5,     0.01096387528,      0.6974551438,                 0,                 0,                 0,     0.08563223534,     0.01096387528,      0.6974551438,                 0,       63.61392539,     0.01254928943,               0.5,     0.01070985028,      0.6943549065,                 0,                 0,                 0,     0.08523719156,     0.01070985028,      0.6943549065,                 0,       64.88618663,     0.01254928943
         11,          44,               0.5,     0.01075998946,      0.6984533529,                 0,                 0,                 0,     0.08599497217,     0.01075998946,      0.6984533529,                 0,       64.91208521,     0.01254928943,               0.5,      0.0107154213,      0.6948102894,                 0,                 0,                 0,     0.08532138941,      0.0107154213,      0.6948102894,                 0,       64.88906425,     0.01254928943
         12,          43,               0.5,     0.01055383179,      0.6988324123,                 0,                 0,                 0,       0.086204623,     0.01055383179,      0.6988324123,                 0,       66.21598925,     0.01254928943,               0.5,     0.01069926235,      0.6952125017,                 0,                 0,                 0,     0.08540971277,     0.01069926235,      0.6952125017,                 0,       65.02175675,     0.01254928943
         13,          43,               0.5,     0.01037578118,       0.698672583,                 0,                 0,                 0,     0.08614585577,     0.01037578118,       0.698672583,                 0,       67.33686564,     0.01254928943,               0.5,     0.01066985497,      0.6955270546,                 0,                 0,                 0,     0.08547663486,     0.01066985497,      0.6955270546,                 0,       65.23222119,     0.01254928943
         14,          45,               0.5,     0.01026380297,      0.6988142781,                 0,                 0,                 0,     0.08599844915,     0.01026380297,      0.6988142781,                 0,       68.08531695,     0.01254928943,               0.5,      0.0106360173,      0.6958009899,                 0,                 0,                 0,     0.08552011938,      0.0106360173,      0.6958009899,                 0,       65.46997917,     0.01254928943
         15,          44,               0.5,     0.01024632698,       0.699546982,                 0,                 0,                 0,     0.08598497788,     0.01024632698,       0.699546982,                 0,       68.27295119,     0.01254928943,               0.5,     0.01060604112,      0.6960891431,                 0,                 0,                 0,     0.08555587773,     0.01060604112,      0.6960891431,                 0,       65.68559241,     0.01254928943
         16,          42,               0.5,     0.01023959504,      0.7003312486,                 0,                 0,                 0,     0.08608743512,     0.01023959504,      0.7003312486,                 0,       68.39442829,     0.01254928943,               0.5,      0.0105798664,      0.6963921506,                 0,                 0,                 0,     0.08559384611,      0.0105798664,      0.6963921506,                 0,       65.87908068,     0.01254928943
         17,          38,               0.5,     0.01022096335,       0.700900776,                 0,                 0,                 0,     0.08623094099,     0.01022096335,       0.700900776,                 0,       68.57482529,     0.01254928943,               0.5,     0.01055593953,      0.6966927257,                 0,                 0,                 0,     0.08563631911,     0.01055593953,      0.6966927257,                 0,       66.05879699,     0.01254928943
         18,          39,               0.5,     0.01021133666,      0.7013422891,                 0,                 0,                 0,     0.08639018793,     0.01021133666,      0.7013422891,                 0,       68.68271141,     0.01254928943,               0.5,     0.01053440185,      0.6969833234,                 0,                 0,                 0,     0.08568343591,     0.01053440185,      0.6969833234,                 0,       66.22279164,     0.01254928943
         19,          43,               0.5,     0.01019880668,      0.7013744109,                 0,                 0,                 0,     0.08638616731,     0.01019880668,      0.7013744109,                 0,       68.77024274,     0.01254928943,               0.5,     0.01051466096,      0.6972416227,                 0,                 0,                 0,     0.08572477305,     0.01051466096,      0.6972416227,                 0,       66.37264171,     0.01254928943
         20,          45,               0.5,     0.01013335778,      0.7005733422,                 0,                 0,                 0,     0.08592587351,     0.01013335778,      0.7005733422,                 0,        69.1353604,     0.01254928943,               0.5,     0.01049347745,      0.6974267182,                 0,                 0,                 0,      0.0857359453,     0.01049347745,      0.6974267182,                 0,       66.52612608,     0.01254928943
         21,          45,               0.5,      0.0100472051,      0.6995222946,                 0,                 0,                 0,     0.08521187305,      0.0100472051,      0.6995222946,                 0,       69.62357069,     0.01254928943,               0.5,     0.01046998943,      0.6975370117,                 0,                 0,                 0,     0.08570836255,     0.01046998943,      0.6975370117,                 0,       66.68914948,     0.01254928943
         22,          43,               0.5,     0.01000036302,      0.6990143429,                 0,                 0,                 0,     0.08467954322,     0.01000036302,      0.6990143429,                 0,       69.89889685,     0.01254928943,               0.5,     0.01044650811,      0.6976108782,                 0,                 0,                 0,     0.08565692158,     0.01044650811,      0.6976108782,                 0,       66.84963685,     0.01254928943
         23,          41,               0.5,    0.009990831913,      0.6990660769,                 0,                 0,                 0,     0.08448605808,    0.009990831913,      0.6990660769,                 0,       69.97075748,     0.01254928943,               0.5,     0.01042480925,      0.6976801734,                 0,                 0,                 0,     0.08560116618,     0.01042480925,      0.6976801734,                 0,       66.99826164,     0.01254928943
         24,          39,               0.5,     0.01002334096,      0.6996170335,                 0,                 0,                 0,     0.08465915382,     0.01002334096,      0.6996170335,                 0,       69.79878627,     0.01254928943,               0.5,     0.01040656069,      0.6977682125,                 0,                 0,                 0,     0.08555834743,     0.01040656069,      0.6977682125,                 0,       67.12555821,     0.01254928943
         25,          39,               0.5,     0.01010866423,       0.700617596,                 0,                 0,                 0,      0.0851176063,     0.01010866423,       0.700617596,                 0,       69.30862281,     0.01254928943,               0.5,     0.01039360867,      0.6978920987,                 0,                 0,                 0,     0.08553918477,     0.01039360867,      0.6978920987,                 0,       67.22047407,     0.01254928943
         26,          40,               0.5,     0.01021614106,        0.70168216,                 0,                 0,                 0,     0.08562089177,     0.01021614106,        0.70168216,                 0,       68.68367968,     0.01254928943,               0.5,     0.01038621418,       0.698050018,                 0,                 0,                 0,     0.08554258923,     0.01038621418,       0.698050018,                 0,       67.28144097,     0.01254928943
         27,          44,               0.5,     0.01027768887,      0.7023292834,                 0,                 0,                 0,     0.08586823193,     0.01027768887,      0.7023292834,                 0,       68.33533225,     0.01254928943,               0.5,     0.01038187317,      0.6982211886,                 0,                 0,                 0,     0.08555561494,     0.01038187317,      0.6982211886,                 0,       67.32359662,     0.01254928943
         28,          48,               0.5,     0.01021716323,      0.7024897569,                 0,                 0,                 0,     0.08571095292,     0.01021716323,      0.7024897569,                 0,       68.75585143,     0.01254928943,               0.5,     0.01037553817,      0.6983853643,                 0,                 0,                 0,     0.08556158948,     0.01037553817,      0.6983853643,                 0,       67.37868334,     0.01254928943
         29,          49,               0.5,     0.01004830464,       0.702559077,                 0,                 0,                 0,     0.08550280261,     0.01004830464,       0.702559077,                 0,       69.91817047,     0.01254928943,               0.5,     0.01036341841,      0.6985399462,                 0,                 0,                 0,     0.08555941219,     0.01036341841,      0.6985399462,                 0,       67.47273842,     0.01254928943
         30,          47,               0.5,    0.009877904425,      0.7025998075,                 0,                 0,                 0,     0.08557197331,    0.009877904425,      0.7025998075,                 0,       71.12842737,     0.01254928943,               0.5,     0.01034607863,      0.6986849413,                 0,                 0,                 0,      0.0855598608,     0.01034607863,      0.6986849413,                 0,       67.60329874,     0.01254928943
