"Time_Iter","Inner_Iter",    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  
          3,         135,               0.5,     0.01082909886,      0.6584480319,                 0,                 0,                 0,     0.07587523375,     0.01082909886,      0.6584480319,                 0,       60.80358488,     0.01105002683,               0.5,     0.01082909886,      0.6584480319,                 0,                 0,                 0,     0.07587523375,     0.01082909886,      0.6584480319,                 0,       60.80358488,     0.01105002683
          4,          67,               0.5,     0.01020179991,      0.6582695712,                 0,                 0,                 0,     0.07535535613,     0.01020179991,      0.6582695712,                 0,       64.52484633,     0.01105002683,               0.5,     0.01051544938,      0.6583588016,                 0,                 0,                 0,     0.07561529494,     0.01051544938,      0.6583588016,                 0,        62.6642156,     0.01105002683
          5,          46,               0.5,     0.01008125181,      0.6563656811,                 0,                 0,                 0,     0.07486903454,     0.01008125181,      0.6563656811,                 0,       65.10755741,     0.01105002683,               0.5,     0.01037071686,      0.6576944281,                 0,                 0,                 0,     0.07536654147,     0.01037071686,      0.6576944281,                 0,       63.47866287,     0.01105002683
          6,          37,               0.5,    0.009980867178,      0.6559567658,                 0,                 0,                 0,     0.07458407946,    0.009980867178,      0.6559567658,                 0,        65.7214202,     0.01105002683,               0.5,     0.01027325444,      0.6572600125,                 0,                 0,                 0,     0.07517092597,     0.01027325444,      0.6572600125,                 0,       64.03935221,     0.01105002683
          7,          35,               0.5,    0.009963664852,       0.656280045,                 0,                 0,                 0,      0.0745244644,    0.009963664852,       0.656280045,                 0,       65.86733444,     0.01105002683,               0.5,     0.01021133652,       0.657064019,                 0,                 0,                 0,     0.07504163366,     0.01021133652,       0.657064019,                 0,       64.40494865,     0.01105002683
          8,          35,               0.5,     0.01002818757,      0.6572487568,                 0,                 0,                 0,      0.0746238503,     0.01002818757,      0.6572487568,                 0,       65.54013398,     0.01105002683,               0.5,      0.0101808117,      0.6570948086,                 0,                 0,                 0,      0.0749720031,      0.0101808117,      0.6570948086,                 0,       64.59414621,     0.01105002683
          9,          33,               0.5,     0.01015489015,      0.6583989848,                 0,                 0,                 0,     0.07478271166,     0.01015489015,      0.6583989848,                 0,       64.83565798,     0.01105002683,               0.5,     0.01017710862,      0.6572811195,                 0,                 0,                 0,     0.07494496146,     0.01017710862,      0.6572811195,                 0,       64.62864789,     0.01105002683
         10,          29,               0.5,      0.0102981073,      0.6592335433,                 0,                 0,                 0,      0.0748881133,      0.0102981073,      0.6592335433,                 0,       64.01501986,     0.01105002683,               0.5,     0.01019223345,      0.6575251725,                 0,                 0,                 0,     0.07493785544,     0.01019223345,      0.6575251725,                 0,       64.55194438,     0.01105002683
         11,          27,               0.5,     0.01042297861,      0.6597757605,                 0,                 0,                 0,     0.07493592901,     0.01042297861,      0.6597757605,                 0,       63.30011651,     0.01105002683,               0.5,      0.0102178718,      0.6577752378,                 0,                 0,                 0,      0.0749376414,      0.0102178718,      0.6577752378,                 0,        64.4128524,     0.01105002683
         12,          27,               0.5,     0.01051762931,      0.6601729652,                 0,                 0,                 0,     0.07498085199,     0.01051762931,      0.6601729652,                 0,       62.76822904,     0.01105002683,               0.5,     0.01024784755,      0.6580150106,                 0,                 0,                 0,     0.07494196245,     0.01024784755,      0.6580150106,                 0,       64.24839006,     0.01105002683
         13,          28,               0.5,     0.01056989063,      0.6604439491,                 0,                 0,                 0,      0.0750078005,     0.01056989063,      0.6604439491,                 0,       62.48351776,     0.01105002683,               0.5,      0.0102771242,      0.6582358232,                 0,                 0,                 0,     0.07494794773,      0.0102771242,      0.6582358232,                 0,       64.08794713,     0.01105002683
         14,          28,               0.5,     0.01057417061,      0.6604502566,                 0,                 0,                 0,     0.07491140161,     0.01057417061,      0.6604502566,                 0,       62.45882355,     0.01105002683,               0.5,     0.01030187807,      0.6584203593,                 0,                 0,                 0,     0.07494490222,     0.01030187807,      0.6584203593,                 0,       63.95218683,     0.01105002683
         15,          27,               0.5,      0.0105442106,      0.6601714548,                 0,                 0,                 0,     0.07466167126,      0.0105442106,      0.6601714548,                 0,       62.60985103,     0.01105002683,               0.5,     0.01032051903,      0.6585550589,                 0,                 0,                 0,     0.07492311522,     0.01032051903,      0.6585550589,                 0,       63.84893023,     0.01105002683
         16,          28,               0.5,     0.01047625168,      0.6597212654,                 0,                 0,                 0,     0.07428294758,     0.01047625168,      0.6597212654,                 0,       62.97302559,     0.01105002683,               0.5,     0.01033164279,      0.6586383594,                 0,                 0,                 0,     0.07487738896,     0.01033164279,      0.6586383594,                 0,       63.78636561,     0.01105002683
         17,          28,               0.5,     0.01036366002,      0.6593967584,                 0,                 0,                 0,     0.07389702775,     0.01036366002,      0.6593967584,                 0,       63.62585777,     0.01105002683,               0.5,     0.01033377727,      0.6586889193,                 0,                 0,                 0,     0.07481203155,     0.01033377727,      0.6586889193,                 0,       63.77566509,     0.01105002683
