"Time_Iter","Inner_Iter",    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  
          3,         137,               0.5,     0.01066399508,      0.6781423439,                 0,                 0,                 0,     0.08143029622,     0.01066399508,      0.6781423439,                 0,       63.59177202,     0.01105002684,               0.5,     0.01066399508,      0.6781423439,                 0,                 0,                 0,     0.08143029622,     0.01066399508,      0.6781423439,                 0,       63.59177202,     0.01105002684
          4,          64,               0.5,    0.009920294933,      0.6778444513,                 0,                 0,                 0,     0.08079755157,    0.009920294933,      0.6778444513,                 0,       68.32906238,     0.01254928946,               0.5,     0.01029214501,      0.6779933976,                 0,                 0,                 0,     0.08111392389,     0.01029214501,      0.6779933976,                 0,        65.9604172,     0.01179965815
          5,          43,               0.5,    0.009770373193,      0.6757901632,                 0,                 0,                 0,     0.08035580131,    0.009770373193,      0.6757901632,                 0,       69.16728255,     0.01254928946,               0.5,     0.01011822107,      0.6772589861,                 0,                 0,                 0,     0.08086121637,     0.01011822107,      0.6772589861,                 0,       67.02937232,     0.01204953526
          6,          38,               0.5,    0.009679285666,      0.6746234034,                 0,                 0,                 0,      0.0798821857,    0.009679285666,      0.6746234034,                 0,       69.69764368,     0.01254928946,               0.5,     0.01000848722,      0.6766000905,                 0,                 0,                 0,      0.0806164587,     0.01000848722,      0.6766000905,                 0,       67.69644016,     0.01217447381
          7,          36,               0.5,    0.009692675099,      0.6741538952,                 0,                 0,                 0,     0.07953466753,    0.009692675099,      0.6741538952,                 0,       69.55292407,     0.01254928946,               0.5,    0.009945324794,      0.6761108514,                 0,                 0,                 0,     0.08040010047,    0.009945324794,      0.6761108514,                 0,       68.06773694,     0.01224943694
          8,          35,               0.5,    0.009795393618,      0.6743727622,                 0,                 0,                 0,     0.07938885626,    0.009795393618,      0.6743727622,                 0,       68.84590743,     0.01254928946,               0.5,    0.009920336265,      0.6758211699,                 0,                 0,                 0,     0.08023155977,    0.009920336265,      0.6758211699,                 0,       68.19743202,     0.01229941236
          9,          31,               0.5,    0.009942975877,      0.6750356752,                 0,                 0,                 0,     0.07947068566,    0.009942975877,      0.6750356752,                 0,       67.89070833,     0.01254928946,               0.5,    0.009923570495,      0.6757089564,                 0,                 0,                 0,     0.08012286346,    0.009923570495,      0.6757089564,                 0,       68.15361435,     0.01233510909
         10,          28,               0.5,     0.01009993721,      0.6757730469,                 0,                 0,                 0,     0.07963506722,     0.01009993721,      0.6757730469,                 0,       66.90863842,     0.01254928946,               0.5,    0.009945616335,      0.6757169677,                 0,                 0,                 0,     0.08006188893,    0.009945616335,      0.6757169677,                 0,       67.99799236,     0.01236188163
         11,          27,               0.5,     0.01024404081,      0.6764440694,                 0,                 0,                 0,     0.07978464418,     0.01024404081,      0.6764440694,                 0,       66.03293389,     0.01254928946,               0.5,    0.009978774609,      0.6757977568,                 0,                 0,                 0,     0.08003108396,    0.009978774609,      0.6757977568,                 0,       67.77965253,     0.01238270473
         12,          27,               0.5,     0.01035922985,      0.6770952954,                 0,                 0,                 0,     0.07988876399,     0.01035922985,      0.6770952954,                 0,       65.36154764,     0.01254928946,               0.5,     0.01001682013,      0.6759275106,                 0,                 0,                 0,     0.08001685196,     0.01001682013,      0.6759275106,                 0,       67.53784204,      0.0123993632
         13,          26,               0.5,     0.01042939389,      0.6777246706,                 0,                 0,                 0,     0.07993862246,     0.01042939389,      0.6777246706,                 0,       64.98217227,     0.01254928946,               0.5,     0.01005432684,      0.6760908888,                 0,                 0,                 0,     0.08000974019,     0.01005432684,      0.6760908888,                 0,       67.30550842,     0.01241299286
         14,          26,               0.5,     0.01043653673,      0.6783007073,                 0,                 0,                 0,     0.07990651429,     0.01043653673,      0.6783007073,                 0,       64.99289226,     0.01254928946,               0.5,     0.01008617766,      0.6762750403,                 0,                 0,                 0,     0.08000113803,     0.01008617766,      0.6762750403,                 0,       67.11279041,     0.01242435091
         15,          27,               0.5,     0.01036829614,      0.6788413946,                 0,                 0,                 0,     0.07983202623,     0.01036829614,      0.6788413946,                 0,       65.47280143,     0.01254928946,               0.5,     0.01010787908,      0.6764724522,                 0,                 0,                 0,     0.07998812943,     0.01010787908,      0.6764724522,                 0,       66.98663741,     0.01243396157
         16,          28,               0.5,     0.01023840057,      0.6794481588,                 0,                 0,                 0,      0.0798546437,     0.01023840057,      0.6794481588,                 0,       66.36272476,     0.01254928946,               0.5,     0.01011720205,      0.6766850027,                 0,                 0,                 0,     0.07997859474,     0.01011720205,      0.6766850027,                 0,       66.94207222,     0.01244219927
         17,          28,               0.5,     0.01008512516,      0.6800947625,                 0,                 0,                 0,     0.08002108372,     0.01008512516,      0.6800947625,                 0,        67.4354311,     0.01254928946,               0.5,     0.01011506359,        0.67691232,                 0,                 0,                 0,     0.07998142734,     0.01011506359,        0.67691232,                 0,       66.97496281,     0.01244933862
         18,          26,               0.5,    0.009944387891,      0.6805853707,                 0,                 0,                 0,     0.08020893663,    0.009944387891,      0.6805853707,                 0,       68.43914157,     0.01254928946,               0.5,     0.01010439636,      0.6771418857,                 0,                 0,                 0,     0.07999564667,     0.01010439636,      0.6771418857,                 0,       67.06647399,     0.01245558555
         19,          24,               0.5,    0.009830335152,      0.6808667372,                 0,                 0,                 0,     0.08035321826,    0.009830335152,      0.6808667372,                 0,       69.26180305,     0.01254928946,               0.5,     0.01008827511,      0.6773609946,                 0,                 0,                 0,     0.08001668029,     0.01008827511,      0.6773609946,                 0,       67.19561099,     0.01246109754
         20,          24,               0.5,    0.009744189534,      0.6809979859,                 0,                 0,                 0,     0.08046938028,    0.009744189534,      0.6809979859,                 0,       69.88759645,     0.01254928946,               0.5,     0.01006915924,      0.6775630497,                 0,                 0,                 0,     0.08004183029,     0.01006915924,      0.6775630497,                 0,       67.34516574,     0.01246599709
         21,          30,               0.5,    0.009691588817,       0.681076644,                 0,                 0,                 0,     0.08062141111,    0.009691588817,       0.681076644,                 0,       70.27502475,     0.01254928946,               0.5,     0.01004928712,      0.6777479757,                 0,                 0,                 0,     0.08007233454,     0.01004928712,      0.6777479757,                 0,       67.49936884,      0.0124703809
         22,          34,               0.5,    0.009708840293,      0.6812952527,                 0,                 0,                 0,     0.08084906435,    0.009708840293,      0.6812952527,                 0,       70.17267069,     0.01254928946,               0.5,     0.01003226478,      0.6779253395,                 0,                 0,                 0,     0.08011117103,     0.01003226478,      0.6779253395,                 0,       67.63303394,     0.01247432633
         23,          33,               0.5,    0.009757073123,      0.6816646462,                 0,                 0,                 0,     0.08103837704,    0.009757073123,      0.6816646462,                 0,       69.86364021,     0.01254928946,               0.5,     0.01001916041,      0.6781034017,                 0,                 0,                 0,      0.0801553237,     0.01001916041,      0.6781034017,                 0,       67.73925328,       0.012477896
         24,          43,               0.5,    0.009812221503,      0.6819908033,                 0,                 0,                 0,     0.08111932832,    0.009812221503,      0.6819908033,                 0,       69.50422013,     0.01254928946,               0.5,      0.0100097541,      0.6782801018,                 0,                 0,                 0,     0.08019914209,      0.0100097541,      0.6782801018,                 0,       67.81947905,     0.01248114116
